row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 6. Chứng khoán đầu tư,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 6. Chứng khoán đầu tư_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 6. Chứng khoán đầu tư_2,Đơn vị tính: Triệu đồng Việt Nam > 31/12/2017,Đơn vị tính: Triệu đồng Việt Nam > 01/01/2017,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 6. Chứng khoán đầu tư_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 6. Chứng khoán đầu tư_2,numeric__Đơn vị tính: Triệu đồng Việt Nam > 31/12/2017,numeric__Đơn vị tính: Triệu đồng Việt Nam > 01/01/2017
6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,,,,,,
a. Chứng khoán Nợ,6.1. Chứng khoán đầu tư sẵn sàng để bán > a. Chứng khoán Nợ,a. Chứng khoán Nợ,a. Chứng khoán Nợ,a. Chứng khoán Nợ,7.461.419,11.233.021,,,7461419.0,11233021.0
- Chứng khoán Chính phủ,6.1. Chứng khoán đầu tư sẵn sàng để bán > - Chứng khoán Chính phủ,- Chứng khoán Chính phủ,- Chứng khoán Chính phủ,- Chứng khoán Chính phủ,4.461.350,10.183.021,,,4461350.0,10183021.0
- Chứng khoán do các TCTD khác trong nước phát hành,6.1. Chứng khoán đầu tư sẵn sàng để bán > - Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,3.000.069,1.050.000,,,3000069.0,1050000.0
Cộng,6.1. Chứng khoán đầu tư sẵn sàng để bán > Cộng,Cộng,Cộng,Cộng,7.461.419,11.233.021,,,7461419.0,11233021.0
6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,,,
- Chứng khoán Nợ do các TCKT trong nước phát hành (*),6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),8.101.727,7.892.799,,,8101727.0,7892799.0
- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,(92.964),(20.000),,,-92964.0,-20000.0
Cộng,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Cộng,Cộng,Cộng,Cộng,8.008.763,7.872.799,,,8008763.0,7872799.0
Tổng cộng,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,15.470.182,19.105.820,,,15470182.0,19105820.0
