row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất có thời hạn,Phần mềm máy vi tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất có thời hạn,numeric__Phần mềm máy vi tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu kỳ,Nguyên giá TSCĐ vô hình > Số dư đầu kỳ,Số dư đầu kỳ,914.039,45.088,1.200,960.327,914039.0,45088.0,1200.0,960327.0
- Tăng trong kỳ,Nguyên giá TSCĐ vô hình > - Tăng trong kỳ,- Tăng trong kỳ,120.085,4.305,53.312,177.702,120085.0,4305.0,53312.0,177702.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.784),,,(1.784),-1784.0,,,-1784.0
Số dư cuối kỳ,Nguyên giá TSCĐ vô hình > Số dư cuối kỳ,Số dư cuối kỳ,1.032.340,49.393,54.512,1.136.245,1032340.0,49393.0,54512.0,1136245.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,189,14.829,343,15.361,189.0,14829.0,343.0,15361.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,38,5.474,7.806,13.318,38.0,5474.0,7806.0,13318.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(43),-,-,(43),-43.0,,,-43.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,184,20.303,8.149,28.636,184.0,20303.0,8149.0,28636.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu kỳ,Giá trị còn lại của TSCĐ vô hình > Số dư đầu kỳ,Số dư đầu kỳ,913.850,30.259,857,944.966,913850.0,30259.0,857.0,944966.0
Số dư cuối kỳ,Giá trị còn lại của TSCĐ vô hình > Số dư cuối kỳ,Số dư cuối kỳ,1.032.156,29.090,46.363,1.107.609,1032156.0,29090.0,46363.0,1107609.0
