row_label_raw,row_label_full,28. Loại hình và giá trị tài sản thể chấp của khách hàngLoại tài sản đảm bảo,Giá trị đến31/12/2017,Giá trị đến01/01/2017,numeric__Giá trị đến31/12/2017,numeric__Giá trị đến01/01/2017
Bắt động sản,Bắt động sản,Bắt động sản,41.447.927,36.528.284,41447927.0,36528284.0
Bảo lãnh,Bảo lãnh,Bảo lãnh,11.000,11.000,11000.0,11000.0
Chứng khoán của các Tổ chức tin dụng khác,Chứng khoán của các Tổ chức tin dụng khác,Chứng khoán của các Tổ chức tin dụng khác,,310.453,,310453.0
Chứng khoán của doanh nghiệp,Chứng khoán của doanh nghiệp,Chứng khoán của doanh nghiệp,14.477.034,5.261.426,14477034.0,5261426.0
"Hàng hóa, nguyên liệu, nhiên liệu, vật liệu","Hàng hóa, nguyên liệu, nhiên liệu, vật liệu","Hàng hóa, nguyên liệu, nhiên liệu, vật liệu",5.207.795,5.468.075,5207795.0,5468075.0
