row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Trụ sở,Tình trạng hoạt động,Tỷ lệ sở hữu trực tiếp và gián tiếp (%),numeric__Tên công ty con_1,numeric__Trụ sở,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu trực tiếp và gián tiếp (%)
Lĩnh vực thủy điện,Lĩnh vực thủy điện,Lĩnh vực thủy điện,Lĩnh vực thủy điện,Lĩnh vực thủy điện,Lĩnh vực thủy điện,Lĩnh vực thủy điện,,,,
(1),Lĩnh vực thủy điện > (1),(1),"Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai (""DHA"")","Gia Lai, Việt Nam",Đang hoạt động,"99,40",,,,99.4
(2),Lĩnh vực thủy điện > (2),(2),"Công ty TNHH Điện Hoàng Anh Attapeu (""NK2"")","Viêng Chăn, Lào",Chờ thanh lý,"99,40",,,,99.4
(3),Lĩnh vực thủy điện > (3),(3),"Công ty TNHH Điện Nậm Kông 3 (""NK3"")","Attapeu, Lào",Chờ thanh lý,"99,40",,,,99.4
(4),Lĩnh vực thủy điện > (4),(4),Công ty Cổ phần Thủy điện Hoàng Anh Sài Gòn,"Hồ Chí Minh, Việt Nam",Trước hoạt động,"99,00",,,,99.0
Lĩnh vực nông nghiệp,Lĩnh vực nông nghiệp,Lĩnh vực nông nghiệp,Lĩnh vực nông nghiệp,Lĩnh vực nông nghiệp,Lĩnh vực nông nghiệp,Lĩnh vực nông nghiệp,,,,
(5),Lĩnh vực nông nghiệp > (5),(5),"Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"")","Gia Lai, Việt Nam",Đang hoạt động,"62,49",,,,62.49
(6),Lĩnh vực nông nghiệp > (6),(6),Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,"Gia Lai, Việt Nam",Đang hoạt động,"62,49",,,,62.49
(7),Lĩnh vực nông nghiệp > (7),(7),Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,"Gia Lai, Việt Nam",Đang hoạt động,"61,09",,,,61.09
(8),Lĩnh vực nông nghiệp > (8),(8),Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,"Attapeu, Lào",Đang hoạt động,"61,09",,,,61.09
(9),Lĩnh vực nông nghiệp > (9),(9),Công ty Cổ phần Hoàng Anh Đắk Lắk,"Đắk Lắk, Việt Nam",Đang hoạt động,"62,20",,,,62.2
