row_label_raw,row_label_full,Nhóm An Phú,Nhóm An Phú_1,Giao dịch,Số cuối năm,Ngan VND Số đầu năm,numeric__Nhóm An Phú_1,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngan VND Số đầu năm
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Cung cấp dịch vụ xây dựngBán hàng hóa,27.595.9442.180.959,27.595.9442.180.959,,,275959442180959.0,275959442180959.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Bán hàng hóa và cung cấp dịch vụ,26.346.782,539.695,,,26346782.0,539695.0
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Cung cấp dịch vụ xây dựng,5.501.714,5.501.714,,,5501714.0,5501714.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Cung cấp dịch vụCung cấp dịch vụ xây dựng,988.185-,7.554.79018.084.773,,,,755479018084773.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,62.613.584,61.457.875,,,62613584.0,61457875.0
Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),Trả trước cho người bán ngắn hạn (TM số 6),,,,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Ứng trước mua hàng hóa,49.703.805,-,,,49703805.0,
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Trả trước cho người bán ngắn hạn (TM số 6) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty liên kết,Ứng trước mua hàng hóa,-,695.883,,,,695883.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn (TM số 6) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,49.703.805,695.883,,,49703805.0,695883.0
