row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),,,,
Nhóm An Phú (*),Phải thu ngắn hạn của khách hàng (TM số 5) > Nhóm An Phú (*),Nhóm An Phú (*),Bên liên quan,(*),62.613.584,61.457.875,,,62613584.0,61457875.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai - Chi nhánh Chế biến hoa quả,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai - Chi nhánh Chế biến hoa quả,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai - Chi nhánh Chế biến hoa quả,Công ty con,"Bán tài sản cố định, hàng hóa và cung cấp dịch vụ",41.078.201,-,,,41078201.0,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Bán hàng hóa và cung cấp dịch vụ,13.026.522,14.829.198,,,13026522.0,14829198.0
Công ty TNHH Hoàng Anh Andong Meas,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Hoàng Anh Andong Meas,Công ty TNHH Hoàng Anh Andong Meas,Công ty con,Bán hàng hóa và cung cấp dịch vụ,7.086.336,-,,,7086336.0,
Công ty Cổ phần IAPACCO,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần IAPACCO,Công ty Cổ phần IAPACCO,Công ty liên quan,Cung cấp dịch vụ xây dựng,2.930.603,2.930.603,,,2930603.0,2930603.0
Công ty Cổ phần IAPACCO,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần IAPACCO,Công ty Cổ phần IAPACCO,Công ty liên quan,Cung cấp dịch vụ,1.010.461,1.010.461,,,1010461.0,1010461.0
Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty con,Bán hàng hóa và cung cấp dịch vụ,3.815.536,1.194.518,,,3815536.0,1194518.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Bán hàng hóa và cung cấp dịch vụ,2.311.412,12.350.729,,,2311412.0,12350729.0
Công ty Cổ phần Cao su Trung Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Bán hàng hóa và cung cấp dịch vụ,1.393.695,13.502.517,,,1393695.0,13502517.0
Công ty Cổ phần Cao su Trung Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Cung cấp dịch vụ xây dựng,-,16.399.585,,,,16399585.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,Bán hàng hóa và cung cấp dịch vụ,1.300.000,-,,,1300000.0,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Bán hàng hóa và cung cấp dịch vụ xây dựng,320.818,2.617.317,,,320818.0,2617317.0
Công ty Cổ phần Bò sữa Tây Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Bán hàng hóa và cung cấp dịch vụ,127.346,1.418.474,,,127346.0,1418474.0
Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty con,Cung cấp dịch vụ xây dựng,4.554,5.888.019,,,4554.0,5888019.0
Công ty TNHH MTV Hoàng Anh Lumphat,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH MTV Hoàng Anh Lumphat,Công ty TNHH MTV Hoàng Anh Lumphat,Công ty con,Bán hàng hóa,-,14.523.252,,,,14523252.0
