row_label_raw,row_label_full,Nhóm An Phú,Nhóm An Phú_1,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nhóm An Phú_1,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Lãi cho vay,146.857.511,119.081.682,,,146857511.0,119081682.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Lãi cho vay,43.040.917,9.543.750,,,43040917.0,9543750.0
Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Xây dựng Huynh Độ,Công ty Cổ phần Xây dựng Huynh Độ,Lãi cho vay,32.468.560,12.522.211,,,32468560.0,12522211.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Lãi cho vay,29.098.785,-,,,29098785.0,
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Lãi cho vay,26.861.748,-,,,26861748.0,
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Lãi cho vay,26.168.409,10.364.621,,,26168409.0,10364621.0
Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Lãi cho vay,17.975.000,12.905.556,,,17975000.0,12905556.0
Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Lãi cho vay,6.520.743,28.650.129,,,6520743.0,28650129.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,328.991.673,193.067.949,,,328991673.0,193067949.0
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,,,,
Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),,,,
Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 15) > Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Công ty liên quan,Mua hàng hóa và dịch vụ,136.748,2.150.768,,,136748.0,2150768.0
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Phải trả người bán ngắn hạn (TM số 15) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty liên kết,Mua dịch vụ,88.900,624.575,,,88900.0,624575.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 15) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Mua hàng hóa,-,1.046.163,,,,1046163.0
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 15) > Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty con,Mua hàng hóa và dịch vụ,1.802,15.558.037,,,1802.0,15558037.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải trả người bán ngắn hạn (TM số 15) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Mua hàng hóa,-,9.186.986,,,,9186986.0
Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Phải trả người bán ngắn hạn (TM số 15) > Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty liên quan,Mua hàng hóa,-,9.328.145,,,,9328145.0
Các công ty khác,Phải trả người bán ngắn hạn (TM số 15) > Các công ty khác,Các công ty khác,Bên liên quan,Các khoản khác,248.608,335.940,,,248608.0,335940.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (TM số 15) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,476.058,38.230.614,,,476058.0,38230614.0
