row_label_raw,row_label_full,col_0,Năm nay,Ngân VND > Năm trước,numeric__Năm nay,numeric__Ngân VND > Năm trước
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,150.747.273,223.540.379,150747273.0,223540379.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,52.034.845,100.666.338,52034845.0,100666338.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,44.875.334,29.246.483,44875334.0,29246483.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,31.169.750,5.173.688,31169750.0,5173688.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,22.667.344,88.453.870,22667344.0,88453870.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,56.742.195,112.791.963,56742195.0,112791963.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,94.005.078,110.748.416,94005078.0,110748416.0
