row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,4.365.255.572,3.526.031.080,4365255572.0,3526031080.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,1.556.446.096,-,1556446096.0,
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,341.668.291,325.864.504,341668291.0,325864504.0
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,229.216.928,209.270.579,229216928.0,209270579.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,219.817.820,204.548.653,219817820.0,204548653.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,219.468.434,114.473.185,219468434.0,114473185.0
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,124.235.470,114.806.304,124235470.0,114806304.0
Công ty Cổ phần Thương mại Dịch vụ Xây dựng,Công ty Cổ phần Thương mại Dịch vụ Xây dựng,Công ty Cổ phần Thương mại Dịch vụ Xây dựng,,,,
Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ Xây dựng > Phúc Bảo Minh,Phúc Bảo Minh,67.975.000,62.905.556,67975000.0,62905556.0
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty Cổ phần Thương mại Dịch vụ Xây dựng > Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,61.576.500,83.185.574,61576500.0,83185574.0
Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Thương mại Dịch vụ Xây dựng > Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,12.624.059,12.624.059,12624059.0,12624059.0
Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty Cổ phần Thương mại Dịch vụ Xây dựng > Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty TNHH Thương mại Dịch vụ Minh Tuấn,5.501.714,5.501.712,5501714.0,5501712.0
TỔNG CỘNG,Công ty Cổ phần Thương mại Dịch vụ Xây dựng > TỔNG CỘNG,TỔNG CỘNG,7.203.785.884,4.659.211.206,7203785884.0,4659211206.0
