row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Lãi suất%/năm,Số cuối năm,Ngàn VNDSố đầu năm,numeric__Mối quan hệ,numeric__Lãi suất%/năm,numeric__Số cuối năm,numeric__Ngàn VNDSố đầu năm
Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),,,,
Nhóm An Phú (*),Phải thu về cho vay dài hạn (TM số 7) > Nhóm An Phú (*),Nhóm An Phú (*),Các công ty liên quan,(*),6.095.915.458,3.599.259.475,,,6095915458.0,3599259475.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,"14,10",2.314.922.876,1.957.824.733,,14.1,2314922876.0,1957824733.0
Công ty Cổ phần An Đông Mia,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,"10,00",514.788.889,34.007.539,,10.0,514788889.0,34007539.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,"9,75 - 12,50",849.513.068,1.408.413.314,,,849513068.0,1408413314.0
Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty con,"10,50",259.169.936,-,,10.5,259169936.0,
Công ty TNHH Khoáng sản Hoàng Anh GL – Kontum,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Khoáng sản Hoàng Anh GL – Kontum,Công ty TNHH Khoáng sản Hoàng Anh GL – Kontum,Công ty con,"0,00",53.092.286,53.092.286,,0.0,53092286.0,53092286.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,"0,00",22.895.432,-,,0.0,22895432.0,
Công ty Cổ phần Đầu tư Việt May,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Đầu tư Việt May,Công ty Cổ phần Đầu tư Việt May,Công ty liên quan,"10,00",5.590.000,-,,10.0,5590000.0,
Công ty Cổ phần IAPACCO,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần IAPACCO,Công ty Cổ phần IAPACCO,Công ty liên quan,"0,00",6.123.820,6.123.820,,0.0,6123820.0,6123820.0
Công ty TNHH Điện Hoàng Anh Attapeu,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Điện Hoàng Anh Attapeu,Công ty TNHH Điện Hoàng Anh Attapeu,Công ty con,"12,00",500.000,500.000,,12.0,500000.0,500000.0
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty liên kết,-,-,1.514.041.568,,,,1514041568.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,-,-,1.367.079.207,,,,1367079207.0
Công ty Cổ phần Cao su Trung Nguyên,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,-,-,58.001.920,,,,58001920.0
