row_label_raw,row_label_full,col_0,Số đầu năm,Tăngtrong năm,Giảmtrong năm,Ngàn VNDSố cuối năm,numeric__Số đầu năm,numeric__Tăngtrong năm,numeric__Giảmtrong năm,numeric__Ngàn VNDSố cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay dài hạn ngân hàngđến hạn trả(TM số 20.1),Vay ngắn hạn > Vay dài hạn ngân hàngđến hạn trả(TM số 20.1),Vay dài hạn ngân hàngđến hạn trả(TM số 20.1),25.000.000,774.410.226,(23.647.109),775.763.117,25000000.0,774410226.0,-23647109.0,775763117.0
Trái phiếu thường đếnhạn trả(TM số 20.2),Vay ngắn hạn > Trái phiếu thường đếnhạn trả(TM số 20.2),Trái phiếu thường đếnhạn trả(TM số 20.2),314.381.873,429.095.758,(314.381.873),429.095.758,314381873.0,429095758.0,-314381873.0,429095758.0
Vay ngắn hạn bên liênquan (TM số 20.3),Vay ngắn hạn > Vay ngắn hạn bên liênquan (TM số 20.3),Vay ngắn hạn bên liênquan (TM số 20.3),-,774.735.570,(161.740.570),612.995.000,,774735570.0,-161740570.0,612995000.0
,,,339.381.873,1.978.241.554,(499.769.552),1.817.853.875,339381873.0,1978241554.0,-499769552.0,1817853875.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Trái phiếu thường(TM số 20.2),Vay dài hạn > Trái phiếu thường(TM số 20.2),Trái phiếu thường(TM số 20.2),8.935.477.868,9.759.739,(429.144.330),8.516.093.277,8935477868.0,9759739.0,-429144330.0,8516093277.0
Vay dài hạn ngân hàng(TM số 20.1),Vay dài hạn > Vay dài hạn ngân hàng(TM số 20.1),Vay dài hạn ngân hàng(TM số 20.1),849.974.506,-,(772.974.506),77.000.000,849974506.0,,-772974506.0,77000000.0
Vay dài hạn bên liênquan (TM số 20.3),Vay dài hạn > Vay dài hạn bên liênquan (TM số 20.3),Vay dài hạn bên liênquan (TM số 20.3),596.322.486,152.729.600,(450.231.350),298.820.736,596322486.0,152729600.0,-450231350.0,298820736.0
,,,10.381.774.860,162.489.339,(1.652.350.186),8.891.914.013,10381774860.0,162489339.0,-1652350186.0,8891914013.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,10.721.156.733,2.140.730.893,(2.152.119.738),10.709.767.888,10721156733.0,2140730893.0,-2152119738.0,10709767888.0
