row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Lãi cho vay,Lãi cho vay,Lãi cho vay,1.127.540.551,1.106.613.010,1127540551.0,1106613010.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,242.081.177,120.000,242081177.0,120000.0
Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,23.195.720,1.382.834,23195720.0,1382834.0
Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,423.461,2.750.690,423461.0,2750690.0
Thu nhập từ hoán đổi trái phiếu,Thu nhập từ hoán đổi trái phiếu,Thu nhập từ hoán đổi trái phiếu,-,14.418.900,,14418900.0
Khác,Khác,Khác,-,186.450,,186450.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.393.240.909,1.125.471.884,1393240909.0,1125471884.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,1.366.498.759,1.090.559.527,1366498759.0,1090559527.0
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,19.482.226,34.912.357,19482226.0,34912357.0
