row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả tiền mượn không lãi từ các công ty khác,Ngắn hạn > Phải trả tiền mượn không lãi từ các công ty khác,Phải trả tiền mượn không lãi từ các công ty khác,900.523.794,489.940.305,900523794.0,489940305.0
Phải trả hộ tiền thuê đất,Ngắn hạn > Phải trả hộ tiền thuê đất,Phải trả hộ tiền thuê đất,4.070.503,82.428.607,4070503.0,82428607.0
Phải trả về thu hộ,Ngắn hạn > Phải trả về thu hộ,Phải trả về thu hộ,68.755.647,193.948.611,68755647.0,193948611.0
Phí bảo trì căn hộ,Ngắn hạn > Phí bảo trì căn hộ,Phí bảo trì căn hộ,9.573.496,11.736.624,9573496.0,11736624.0
Phải trả các cá nhân khác,Ngắn hạn > Phải trả các cá nhân khác,Phải trả các cá nhân khác,4.755.139,12.273.984,4755139.0,12273984.0
Phải trả cổ tức,Ngắn hạn > Phải trả cổ tức,Phải trả cổ tức,366.416,366.416,366416.0,366416.0
Phải trả về hợp tác kinh doanh,Ngắn hạn > Phải trả về hợp tác kinh doanh,Phải trả về hợp tác kinh doanh,-,1.132.500.000,,1132500000.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",14.676.835,4.815.737,14676835.0,4815737.0
,,,1.002.721.830,1.928.010.284,1002721830.0,1928010284.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (TM số 28.2),Trong đó: > Phải trả các bên liên quan (TM số 28.2),Phải trả các bên liên quan (TM số 28.2),899.390.923,1.719.241.504,899390923.0,1719241504.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,103.330.907,208.768.780,103330907.0,208768780.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả về hợp tác kinh doanh (*),Dài hạn > Phải trả về hợp tác kinh doanh (*),Phải trả về hợp tác kinh doanh (*),285.000.000,-,285000000.0,
Phải trả do thu chỉ trả hộ,Dài hạn > Phải trả do thu chỉ trả hộ,Phải trả do thu chỉ trả hộ,220.075.796,-,220075796.0,
"Các khoản phải trả, phải nộp khác","Dài hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",65.000.000,-,65000000.0,
,,,570.075.796,-,570075796.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (TM số 28.2),Trong đó: > Phải trả các bên liên quan (TM số 28.2),Phải trả các bên liên quan (TM số 28.2),570.075.796,-,570075796.0,
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.572.797.626,1.928.010.284,1572797626.0,1928010284.0
