row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,4.120.034,2.168.933,4120034.0,2168933.0
Chi phí lương nhân viên,Chi phí bán hàng > Chi phí lương nhân viên,Chi phí lương nhân viên,220.335,987.532,220335.0,987532.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,1.217.024,1.538.892,1217024.0,1538892.0
,,,5.557.393,4.695.357,5557393.0,4695357.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí lương nhân viên,Chi phí quản lý doanh nghiệp > Chi phí lương nhân viên,Chi phí lương nhân viên,42.946.600,46.307.035,42946600.0,46307035.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,13.961.586,13.226.974,13961586.0,13226974.0
Chi phí khấu hao,Chi phí quản lý doanh nghiệp > Chi phí khấu hao,Chi phí khấu hao,7.900.652,8.845.527,7900652.0,8845527.0
Chi phí dự phòng phải thu khó đòi,Chi phí quản lý doanh nghiệp > Chi phí dự phòng phải thu khó đòi,Chi phí dự phòng phải thu khó đòi,6.849.962,637.592,6849962.0,637592.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,141.720.670,19.785.803,141720670.0,19785803.0
,,,213.379.470,88.802.931,213379470.0,88802931.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,218.936.863,93.498.288,218936863.0,93498288.0
