row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối (lỗ sau thuế),Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối (lỗ sau thuế),numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,7.899.679.470,3.539.078.784,(686.640),279.895.303,561.569.778,12.279.536.695,7899679470.0,3539078784.0,-686640.0,279895303.0,561569778.0,12279536695.0
Vốn tăng trong năm,Năm trước > Vốn tăng trong năm,Vốn tăng trong năm,1.375.000.000,(275.220.000),-,-,-,1.099.780.000,1375000000.0,-275220000.0,,,,1099780000.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(475.051.993),(475.051.993),,,,,-475051993.0,-475051993.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,86.517.785,12.904.264.702,9274679470.0,3263858784.0,-686640.0,279895303.0,86517785.0,12904264702.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,86.517.785,12.904.264.702,9274679470.0,3263858784.0,-686640.0,279895303.0,86517785.0,12904264702.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(108.070.025),(108.070.025),,,,,-108070025.0,-108070025.0
"Chi thủ lao HĐQT, thành viên Ban kiểm soát","Năm nay > Chi thủ lao HĐQT, thành viên Ban kiểm soát","Chi thủ lao HĐQT, thành viên Ban kiểm soát",-,-,-,-,(927.000),(927.000),,,,,-927000.0,-927000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,(22.479.240),12.795.267.677,9274679470.0,3263858784.0,-686640.0,279895303.0,-22479240.0,12795267677.0
