row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí lãi vay,Ngắn hạn > Chi phí lãi vay,Chi phí lãi vay,383.223.801,110.133.511,383223801.0,110133511.0
Chi phí phát hành trái phiếu,Ngắn hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,21.414.660,21.414.660,21414660.0,21414660.0
Chi phí hoạt động,Ngắn hạn > Chi phí hoạt động,Chi phí hoạt động,5.579.859,4.732.191,5579859.0,4732191.0
Khác,Ngắn hạn > Khác,Khác,142.895.860,9.525.579,142895860.0,9525579.0
,,,553.114.180,145.805.941,553114180.0,145805941.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay,Dài hạn > Chi phí lãi vay,Chi phí lãi vay,1.374.149.901,948.576.222,1374149901.0,948576222.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.927.264.081,1.094.382.163,1927264081.0,1094382163.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Các bên liên quan (TM số 28.2),Trong đó: > Các bên liên quan (TM số 28.2),Các bên liên quan (TM số 28.2),25.861.970,15.424.254,25861970.0,15424254.0
Các bên khác,Trong đó: > Các bên khác,Các bên khác,1.901.402.111,1.078.957.909,1901402111.0,1078957909.0
