row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy vi tính,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,25.278.179,15.171.973,40.450.152,25278179.0,15171973.0,40450152.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(9.864.918),(9.864.918),,-9864918.0,-9864918.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(1.455.955),(1.455.955),,-1455955.0,-1455955.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(11.320.873),(11.320.873),,-11320873.0,-11320873.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,25.278.179,5.307.055,30.585.234,25278179.0,5307055.0,30585234.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,25.278.179,3.851.100,29.129.279,25278179.0,3851100.0,29129279.0
Trong đó:Thế chấp/cầm cố đề đảm bảocác khoản vay của Công ty vàcông ty con,Giá trị còn lại > Trong đó:Thế chấp/cầm cố đề đảm bảocác khoản vay của Công ty vàcông ty con,Trong đó:Thế chấp/cầm cố đề đảm bảocác khoản vay của Công ty vàcông ty con,25.278.179,-,25.278.179,25278179.0,,25278179.0
