row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,(111.059.187),(469.873.171),-111059187.0,-469873171.0
Thuế TNDN theo thuế suất phổ thông áp dụng,Thuế TNDN theo thuế suất phổ thông áp dụng,Thuế TNDN theo thuế suất phổ thông áp dụng,(22.211.837),(93.974.634),-22211837.0,-93974634.0
Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,,
Chi phí không được khấu trừ,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Chi phí không được khấu trừ,Chi phí không được khấu trừ,27.994.875,253.414,27994875.0,253414.0
Thuế TNDN từ chuyển nhượng căn hộ,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Thuế TNDN từ chuyển nhượng căn hộ,Thuế TNDN từ chuyển nhượng căn hộ,4.066.942,912.141,4066942.0,912141.0
Các khoản phạt,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Các khoản phạt,Các khoản phạt,-,3.031.544,,3031544.0
Chênh lệch tỷ giá chưa thực hiện,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Chênh lệch tỷ giá chưa thực hiện,Chênh lệch tỷ giá chưa thực hiện,-,4.266.681,,4266681.0
Thu nhập cổ tức,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Thu nhập cổ tức,Thu nhập cổ tức,(48.416.235),(24.000),-48416235.0,-24000.0
Lỗ thuế chuyển sang năm sau,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Lỗ thuế chuyển sang năm sau,Lỗ thuế chuyển sang năm sau,35.577.093,90.713.676,35577093.0,90713676.0
Chi phí thuế TNDN,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Chi phí thuế TNDN,Chi phí thuế TNDN,(2.989.162),5.178.822,-2989162.0,5178822.0
