row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay ngắn hạn các bên liên quan (TM số 28.2) (i),Ngắn hạn > Cho vay ngắn hạn các bên liên quan (TM số 28.2) (i),Cho vay ngắn hạn các bên liên quan (TM số 28.2) (i),1.667.079.652,3.289.261.972,1667079652.0,3289261972.0
Cho vay ngắn hạn các bên khác (ii),Ngắn hạn > Cho vay ngắn hạn các bên khác (ii),Cho vay ngắn hạn các bên khác (ii),18.177.885,92.995.522,18177885.0,92995522.0
,,,1.685.257.537,3.382.257.494,1685257537.0,3382257494.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Cho vay dài hạn các bên liên quan (TM số 28.2) (i),Dài hạn > Cho vay dài hạn các bên liên quan (TM số 28.2) (i),Cho vay dài hạn các bên liên quan (TM số 28.2) (i),10.122.511.765,10.078.384.939,10122511765.0,10078384939.0
Cho vay dài hạn các công ty (ii),Dài hạn > Cho vay dài hạn các công ty (ii),Cho vay dài hạn các công ty (ii),42.880.908,8.809.503,42880908.0,8809503.0
Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),Dài hạn > Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),15.020.312,169.589.065,15020312.0,169589065.0
,,,10.180.412.985,10.256.783.507,10180412985.0,10256783507.0
TỔNG CÔNG,Dài hạn > TỔNG CÔNG,TỔNG CÔNG,11.865.670.522,13.639.041.001,11865670522.0,13639041001.0
