row_label_raw,row_label_full,Tên công ty con,Trụ sở,Tình trạng hoạt động,Tỷ lệ sở hữu trực tiếp và gián tiếp (%),numeric__Trụ sở,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu trực tiếp và gián tiếp (%)
Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),,,
"(10) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HAA"")","Lĩnh vực nông nghiệp (tiếp theo) > (10) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HAA"")","(10) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HAA"")","Attapeu, Lào",Đang hoạt động,"62,49",,,62.49
(11) Công ty TNHH Hoàng Anh Oyadav,Lĩnh vực nông nghiệp (tiếp theo) > (11) Công ty TNHH Hoàng Anh Oyadav,(11) Công ty TNHH Hoàng Anh Oyadav,"Ratanakiri, Campuchia",Trước hoạt động,"62,49",,,62.49
(12) Công ty TNHH Heng Brothers,Lĩnh vực nông nghiệp (tiếp theo) > (12) Công ty TNHH Heng Brothers,(12) Công ty TNHH Heng Brothers,"Ratanakiri, Campuchia",Đang hoạt động,"62,49",,,62.49
(13) Công ty TNHH CRD,Lĩnh vực nông nghiệp (tiếp theo) > (13) Công ty TNHH CRD,(13) Công ty TNHH CRD,"Ratanakiri, Campuchia",Trước hoạt động,"62,49",,,62.49
(14) Công ty TNHH Hoàng Anh Rattanakiri,Lĩnh vực nông nghiệp (tiếp theo) > (14) Công ty TNHH Hoàng Anh Rattanakiri,(14) Công ty TNHH Hoàng Anh Rattanakiri,"Ratanakiri, Campuchia",Trước hoạt động,"62,49",,,62.49
(15) Công ty Cổ phần Bò sữa Tây Nguyên,Lĩnh vực nông nghiệp (tiếp theo) > (15) Công ty Cổ phần Bò sữa Tây Nguyên,(15) Công ty Cổ phần Bò sữa Tây Nguyên,"Gia Lai, Việt Nam",Đang hoạt động,"61,87",,,61.87
(16) Công ty Cổ phần An Đông Mia,Lĩnh vực nông nghiệp (tiếp theo) > (16) Công ty Cổ phần An Đông Mia,(16) Công ty Cổ phần An Đông Mia,"Gia Lai, Việt Nam",Đang hoạt động,"63,40",,,63.4
(17) Công ty TNHH MTV Hoàng Anh Lymphat,Lĩnh vực nông nghiệp (tiếp theo) > (17) Công ty TNHH MTV Hoàng Anh Lymphat,(17) Công ty TNHH MTV Hoàng Anh Lymphat,"Ratanakiri, Campuchia",Đang hoạt động,"63,40",,,63.4
(18) Công ty Cổ phần Đông Pênh,Lĩnh vực nông nghiệp (tiếp theo) > (18) Công ty Cổ phần Đông Pênh,(18) Công ty Cổ phần Đông Pênh,"Gia Lai, Việt Nam",Đang hoạt động,"62,43",,,62.43
(19) Công ty TNHH MTV Daun Penh Agrico,Lĩnh vực nông nghiệp (tiếp theo) > (19) Công ty TNHH MTV Daun Penh Agrico,(19) Công ty TNHH MTV Daun Penh Agrico,"Ratanakiri, Campuchia",Đang hoạt động,"62,43",,,62.43
(20) Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,Lĩnh vực nông nghiệp (tiếp theo) > (20) Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,(20) Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,"Hồ Chí Minh, Việt Nam",Đang hoạt động,"62,49",,,62.49
(21) Công ty TNHH Đầu tư Cao su Đông Âu,Lĩnh vực nông nghiệp (tiếp theo) > (21) Công ty TNHH Đầu tư Cao su Đông Âu,(21) Công ty TNHH Đầu tư Cao su Đông Âu,"Hồ Chí Minh, Việt Nam",Đang hoạt động,"62,49",,,62.49
(22) Công ty TNHH Cao su Eastern (Cambodia),Lĩnh vực nông nghiệp (tiếp theo) > (22) Công ty TNHH Cao su Eastern (Cambodia),(22) Công ty TNHH Cao su Eastern (Cambodia),"Kratie, Campuchia",Trước hoạt động,"62,49",,,62.49
(23) Công ty TNHH Bình Phước Kratie 2,Lĩnh vực nông nghiệp (tiếp theo) > (23) Công ty TNHH Bình Phước Kratie 2,(23) Công ty TNHH Bình Phước Kratie 2,"Kratie, Campuchia",Đang hoạt động,"62,49",,,62.49
(24) Công ty TNHH Sovann Vuthy,Lĩnh vực nông nghiệp (tiếp theo) > (24) Công ty TNHH Sovann Vuthy,(24) Công ty TNHH Sovann Vuthy,"Kratie, Campuchia",Đang hoạt động,"62,49",,,62.49
(25) Công ty Cổ phần Cao su Trung Nguyên,Lĩnh vực nông nghiệp (tiếp theo) > (25) Công ty Cổ phần Cao su Trung Nguyên,(25) Công ty Cổ phần Cao su Trung Nguyên,"Gia Lai, Việt Nam",Đang hoạt động,"62,44",,,62.44
(26) Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Lĩnh vực nông nghiệp (tiếp theo) > (26) Công ty Cổ phần Hưng Thắng Lợi Gia Lai,(26) Công ty Cổ phần Hưng Thắng Lợi Gia Lai,"Gia Lai, Việt Nam",Đang hoạt động,"98,00",,,98.0
(27) Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Lĩnh vực nông nghiệp (tiếp theo) > (27) Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,(27) Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,"Champasak, Lào",Đang hoạt động,"98,00",,,98.0
