row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > 11.2. Vay các TCTD khác,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Đơn vị tính: Triệu đồng Việt Nam > 31/12/2021,Năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Đơn vị tính: Triệu đồng Việt Nam > 01/01/2021,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Đơn vị tính: Triệu đồng Việt Nam > 31/12/2021,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Đơn vị tính: Triệu đồng Việt Nam > 01/01/2021
- Bằng VND,- Bằng VND,- Bằng VND,-,-,,
- Bằng ngoại hối,- Bằng VND > - Bằng ngoại hối,- Bằng ngoại hối,136.620,-,136620.0,
Cộng,- Bằng VND > Cộng,Cộng,136.620,-,136620.0,
Tổng cộng tiền gửi và vay các TCTD khác,- Bằng VND > Tổng cộng tiền gửi và vay các TCTD khác,Tổng cộng tiền gửi và vay các TCTD khác,609.295,9.027.173,609295.0,9027173.0
12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,,,,
- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,31/12/2021,01/01/2021,,
Tiền gửi không kỳ hạn,- Thuyết minh theo loại tiền gửi > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,5.871.327,6.197.877,5871327.0,6197877.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,5.771.847,6.108.638,5771847.0,6108638.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,99.480,89.239,99480.0,89239.0
Tiền gửi có kỳ hạn,- Thuyết minh theo loại tiền gửi > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,58.435.458,65.791.700,58435458.0,65791700.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,57.873.012,63.351.421,57873012.0,63351421.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,562.446,2.440.279,562446.0,2440279.0
Tiền gửi vốn chuyên dùng,- Thuyết minh theo loại tiền gửi > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,782,8.908,782.0,8908.0
Tiền gửi kỳ quỹ,- Thuyết minh theo loại tiền gửi > Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,218.939,195.475,218939.0,195475.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,218.140,195.451,218140.0,195451.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,799,24,799.0,24.0
Tổng cộng,- Thuyết minh theo loại tiền gửi > Tổng cộng,Tổng cộng,64.526.506,72.193.960,64526506.0,72193960.0
"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp",31/12/2021,01/01/2021,,
Tiền gửi của TCKT,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của TCKT",Tiền gửi của TCKT,8.939.692,9.696.418,8939692.0,9696418.0
Doanh nghiệp nhà nước,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp nhà nước",Doanh nghiệp nhà nước,2.668.487,2.108.698,2668487.0,2108698.0
"Công ty CP, TNHH, Hợp danh","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty CP, TNHH, Hợp danh","Công ty CP, TNHH, Hợp danh",4.041.694,5.260.046,4041694.0,5260046.0
Doanh nghiệp tư nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp tư nhân",Doanh nghiệp tư nhân,1.429,1.187,1429.0,1187.0
"Công ty chứng khoản, bảo hiểm, tài chính","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty chứng khoản, bảo hiểm, tài chính","Công ty chứng khoản, bảo hiểm, tài chính",897.870,920.211,897870.0,920211.0
"Kinh tế cá thể, Kinh tế tập thể","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Kinh tế cá thể, Kinh tế tập thể","Kinh tế cá thể, Kinh tế tập thể",1.247.278,1.195.631,1247278.0,1195631.0
Doanh nghiệp có vốn đầu tư nước ngoài,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp có vốn đầu tư nước ngoài",Doanh nghiệp có vốn đầu tư nước ngoài,82.934,210.645,82934.0,210645.0
Tiền gửi của cả nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của cả nhân",Tiền gửi của cả nhân,55.586.814,62.497.542,55586814.0,62497542.0
Tổng cộng,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tổng cộng",Tổng cộng,64.526.506,72.193.960,64526506.0,72193960.0
"13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,
,,,31/12/2021,01/01/2021,,
"Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng VND","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng VND","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng VND",43.684,71.066,43684.0,71066.0
"Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ",-,-,,
"Tổng cộng vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ > Tổng cộng vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Tổng cộng vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",43.684,71.066,43684.0,71066.0
