row_label_raw,row_label_full,3.2. Cho vay các tổ chức tin dụng khác,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,136.554,100.000,136554.0,100000.0
Bằng VND,Bằng VND,Bằng VND,136.554,100.000,136554.0,100000.0
Bằng ngoại hồi,Bằng ngoại hồi,Bằng ngoại hồi,-,-,,
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,-,-,,
Cộng,Dự phòng rủi ro cho vay các TCTD khác > Cộng,Cộng,136.554,100.000,136554.0,100000.0
Tổng tiền gửi và cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác > Tổng tiền gửi và cho vay các TCTD khác,Tổng tiền gửi và cho vay các TCTD khác,3.201.163,12.114.276,3201163.0,12114276.0
"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác",31/12/2021,01/01/2021,,
- Nợ đủ tiêu chuẩn,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > - Nợ đủ tiêu chuẩn",- Nợ đủ tiêu chuẩn,3.201.163,12.114.276,3201163.0,12114276.0
Cộng,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > Cộng",Cộng,3.201.163,12.114.276,3201163.0,12114276.0
4. Cho vay khách hàng,4. Cho vay khách hàng,4. Cho vay khách hàng,,,,
,,,31/12/2021,01/01/2021,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","4. Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",41.598.814,40.277.119,41598814.0,40277119.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","4. Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",16.205,36.153,16205.0,36153.0
Tổng cộng,4. Cho vay khách hàng > Tổng cộng,Tổng cộng,41.615.019,40.313.272,41615019.0,40313272.0
4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,,,,
,,,31/12/2021,01/01/2021,,
Nợ đủ tiêu chuẩn,4.1. Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,37.210.764,39.121.555,37210764.0,39121555.0
Nợ cần chủ ý,4.1. Phân tích chất lượng nợ cho vay > Nợ cần chủ ý,Nợ cần chủ ý,3.154.827,582.885,3154827.0,582885.0
Nợ dưới tiêu chuẩn,4.1. Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,603.033,55.841,603033.0,55841.0
Nợ nghi ngờ,4.1. Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,181.534,87.573,181534.0,87573.0
Nợ có khả năng mất vốn,4.1. Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,464.861,465.418,464861.0,465418.0
Tổng cộng,4.1. Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,41.615.019,40.313.272,41615019.0,40313272.0
4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,,,,
,,,31/12/2021,01/01/2021,,
Nợ ngắn hạn,4.2. Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,11.372.276,11.294.357,11372276.0,11294357.0
Nợ trung hạn,4.2. Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,15.507.953,14.096.459,15507953.0,14096459.0
Nợ dài hạn,4.2. Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,14.734.790,14.922.456,14734790.0,14922456.0
Tổng cộng,4.2. Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,41.615.019,40.313.272,41615019.0,40313272.0
