row_label_raw,row_label_full,Hội đồng quản trị > Bà BÙI THỊ THANH HƯƠNG > Ông NGUYỄN TIẾN DUBLNG > Ông VÙ MẠNH TIẾN > Bà TRƯƠNG LỆ HIỀN > Ông PHẠM THỂ HIỆP > Bà TRẦN HÀI ANH > Ông TAMAKI KIDO > Ông NGUYỄN VĂN HẢO > Ông BÙI ĐỨC LONG,Hội đồng quản trị > Chủ tịch > Phó Chủ tịch > Thành viên > Thành viên độc lập > Thành viên,Ngày bổ nhiệm > 29/07/2021 > 26/06/2020 > 29/07/2021 > 26/06/2020 > 29/07/2021 > 26/06/2020,Ngày miễn nhiệm > 29/07/2021 > 26/04/2021,numeric__Hội đồng quản trị > Chủ tịch > Phó Chủ tịch > Thành viên > Thành viên độc lập > Thành viên,numeric__Ngày bổ nhiệm > 29/07/2021 > 26/06/2020 > 29/07/2021 > 26/06/2020 > 29/07/2021 > 26/06/2020,numeric__Ngày miễn nhiệm > 29/07/2021 > 26/04/2021
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà TRẦN THỊ HÀ GIANG,Bà TRẦN THỊ HÀ GIANG,Bà TRẦN THỊ HÀ GIANG,Trường ban,26/04/2018,,,,
Bà VÙ KIM PHƯƠNG,Bà VÙ KIM PHƯƠNG,Bà VÙ KIM PHƯƠNG,Thành viên,24/04/2015,,,,
Bà TRẦN THỊ MINH HUỆ,Bà TRẦN THỊ MINH HUỆ,Bà TRẦN THỊ MINH HUỆ,Thành viên,26/06/2020,,,,
Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,Ban Tổng Giám đốc và Kế toán trưởng,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Quyền Tổng Giám đốc,03/08/2021,,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Phó Tổng Giám đốc thường trực,26/04/2018,03/08/2021,,,
Ông PHẠM THỂ HIỆP,Ông PHẠM THỂ HIỆP,Ông PHẠM THỂ HIỆP,Tổng Giám đốc,19/07/2019,03/08/2021,,,
Bà HOÀNG THU TRANG,Bà HOÀNG THU TRANG,Bà HOÀNG THU TRANG,Phó Tổng Giám đốc,03/08/2021,,,,
Ông NGUYỄN ĐÌNH TUẤN,Ông NGUYỄN ĐÌNH TUẤN,Ông NGUYỄN ĐÌNH TUẤN,Phó Tổng Giám đốc,26/01/2019,,,,
Ông NGUYỄN HỒNG LONG,Ông NGUYỄN HỒNG LONG,Ông NGUYỄN HỒNG LONG,Phó Tổng Giám đốc,21/08/2017,22/11/2021,,,
Ông ĐỒ DANH HÀI,Ông ĐỒ DANH HÀI,Ông ĐỒ DANH HÀI,Phó Tổng Giám đốc,01/10/2019,04/06/2021,,,
Bà LÊ KIM CHI,Bà LÊ KIM CHI,Bà LÊ KIM CHI,Phó Tổng Giám đốc,04/06/2021,,,,
Bà NGUYỄN THỊ THỦY DƯƠNG,Bà NGUYỄN THỊ THỦY DƯƠNG,Bà NGUYỄN THỊ THỦY DƯƠNG,Phó Tổng Giám đốc,03/08/2021,,,,
Bà ĐỒ THỊ THANH HƯƠNG,Bà ĐỒ THỊ THANH HƯƠNG,Bà ĐỒ THỊ THANH HƯƠNG,Kế toán trưởng,01/08/2016,,,,
