row_label_raw,row_label_full,Chỉ tiêu,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,429,-,429.0,
Cam kết giao dịch ngoại hồi,Cam kết giao dịch ngoại hồi,Cam kết giao dịch ngoại hồi,8.834.760,6.628.265,8834760.0,6628265.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,-,115.475,,115475.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,-,854.515,,854515.0
Cam kết giao dịch hoán đốt,Cam kết giao dịch hoán đốt,Cam kết giao dịch hoán đốt,8.834.760,5.658.275,8834760.0,5658275.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,148.644,158.347,148644.0,158347.0
Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,148.644,158.347,148644.0,158347.0
Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,2.641.077,1.976.388,2641077.0,1976388.0
Bảo lãnh thanh toàn,Bảo lãnh thanh toàn,Bảo lãnh thanh toàn,371.680,79.097,371680.0,79097.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,448.075,525.356,448075.0,525356.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,71.695,93.201,71695.0,93201.0
Cam kết bảo lãnh khác,Cam kết bảo lãnh khác,Cam kết bảo lãnh khác,1.749.627,1.278.734,1749627.0,1278734.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,872.414,112.898,872414.0,112898.0
Tổng cộng,Tổng cộng,Tổng cộng,12.497.324,8.875.898,12497324.0,8875898.0
