row_label_raw,row_label_full,col_0,col_1,Số cuối năm,VND > Số đầu năm,VND > Số đầu năm_1,numeric__col_1,numeric__Số cuối năm,numeric__VND > Số đầu năm,numeric__VND > Số đầu năm_1
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,2.052.945.972.681,618.690.305.273,618.690.305.273,,2052945972681.0,618690305273.0,618690305273.0
"Nhóm Công ty thực hiện các khoản vay ngân hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngân hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngân hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngân hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngân hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngân hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngân hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:",,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số dư cuối năm VND,Kỳ hạn thanh toán,Lãi suất,Hình thức đảm bảo,,,,
Ngân hàng TMCP Công Thương Việt Nam,Bên cho vay > Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,663.668.185.632,từ 12/01/2016 đến 29/03/2016,thả nổi,Hàng tồn kho,663668185632.0,,,
Ngân hàng TMCP Ngoại Thương Việt Nam,Bên cho vay > Ngân hàng TMCP Ngoại Thương Việt Nam,Ngân hàng TMCP Ngoại Thương Việt Nam,401.207.982.139,từ 15/02/2016 đến 29/02/2016,thả nổi,Tín chấp,401207982139.0,,,
Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Bên cho vay > Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Ngân hàng TNHH MTV Standard Chartered (Việt Nam),304.154.263.160,từ 18/01/2016 đến 23/02/2016,thả nổi,Hàng tồn kho,304154263160.0,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Bên cho vay > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,278.905.246.682,từ 15/01/2016 đến 21/01/2016,thả nổi,Tín chấp,278905246682.0,,,
Ngân Hàng TMCP Quân Đội – chi nhánh Quảng Nam,Bên cho vay > Ngân Hàng TMCP Quân Đội – chi nhánh Quảng Nam,Ngân Hàng TMCP Quân Đội – chi nhánh Quảng Nam,194.033.257.300,từ 22/01/2016 đến 29/02/2016,thả nổi,Tín chấp,194033257300.0,,,
Ngân hàng TNHH MTV HSBC (Việt Nam),Bên cho vay > Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),121.977.629.736,từ 21/01/2016 đến 01/02/2016,đi,Hàng tồn kho,121977629736.0,,,
Citibank N.A Việt Nam,Bên cho vay > Citibank N.A Việt Nam,Citibank N.A Việt Nam,88.999.408.032,từ 06/01/2016 đến 12/01/2016,thả nổi,Tín chấp,88999408032.0,,,
TỔNG CỘNG,Bên cho vay > TỔNG CỘNG,TỔNG CỘNG,2.052.945.972.681,,,,2052945972681.0,,,
