row_label_raw,row_label_full,Mã số,NGUÔN VÔN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUÔN VÔN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,A. NỘ PHẢI TRẢ,,4.782.209.545.548,1.923.190.326.673,,,4782209545548.0,1923190326673.0
310,310,310,I. Nợ ngắn hạn,,4.782.209.545.548,1.923.190.326.673,,,4782209545548.0,1923190326673.0
311,311,311,1. Phải trả người bán ngắn hạn,14,1.971.271.636.818,981.794.284.232,,14.0,1971271636818.0,981794284232.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,,19.297.585.840,8.353.792.068,,,19297585840.0,8353792068.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,15,174.477.742.839,57.948.259.321,,15.0,174477742839.0,57948259321.0
314,314,314,4. Phải trả người lao động,,52.487.558.084,344.502.084,,,52487558084.0,344502084.0
315,315,315,5. Chi phí phải trả ngắn hạn,16,307.223.642.031,191.807.973.852,,16.0,307223642031.0,191807973852.0
319,319,319,6. Phải trả ngắn hạn khác,17,175.362.240.764,48.482.430.642,,17.0,175362240764.0,48482430642.0
320,320,320,7. Vay ngắn hạn,18,2.052.945.972.681,618.690.305.273,,18.0,2052945972681.0,618690305273.0
321,321,321,8. Dự phòng phải trả ngắn hạn,,24.193.166.491,10.818.779.201,,,24193166491.0,10818779201.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,4.950.000.000,4.950.000.000,,,4950000000.0,4950000000.0
400,400,400,B. VỐN CHỦ SỞ HỮU,,2.483.552.688.326,1.484.009.164.511,,,2483552688326.0,1484009164511.0
410,410,410,I. Vốn chủ sở hữu,,2.483.552.688.326,1.484.009.164.511,,,2483552688326.0,1484009164511.0
411,411,411,1. Vốn cổ phần,19.1,1.468.889.740.000,1.119.567.790.000,,191.0,1468889740000.0,1119567790000.0
411a,411a,411a,- Cổ phiếu có quyền biểu quyết,,1.468.889.740.000,1.119.567.790.000,,,1468889740000.0,1119567790000.0
412,412,412,2. Thắng dư vốn cổ phần,19.1,36.717.698.286,36.717.698.286,,191.0,36717698286.0,36717698286.0
414,414,414,3. Vốn khác,19.1,1.130.494.084,1.130.494.084,,191.0,1130494084.0,1130494084.0
415,415,415,4. Cổ phiếu quỹ,19.1,(2.454.294.500),(300.394.500),,191.0,-2454294500.0,-300394500.0
421,421,421,5. Lợi nhuận sau thuế chưa phân phối,19.1,977.630.195.800,317.840.559.767,,191.0,977630195800.0,317840559767.0
421a,421a,421a,- (Lỗ lũy kế) lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,(31.481.390.233),51.744.017.935,,,-31481390233.0,51744017935.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm này,,1.009.111.586.033,266.096.541.832,,,1009111586033.0,266096541832.0
429,429,429,6. Lợi ích cổ đông không kiểm soát,,1.638.854.656,9.053.016.874,,,1638854656.0,9053016874.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,7.265.762.233.874,3.407.199.491.184,,,7265762233874.0,3407199491184.0
