row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,21.042.500.000,5.109.251.644,26.151.751.644,21042500000.0,5109251644.0,26151751644.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,51.604.300,-,51.604.300,51604300.0,,51604300.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,21.094.104.300,5.109.251.644,26.203.355.944,21094104300.0,5109251644.0,26203355944.0
Giá trị khấu trừ lũy kế:,Giá trị khấu trừ lũy kế:,Giá trị khấu trừ lũy kế:,Giá trị khấu trừ lũy kế:,Giá trị khấu trừ lũy kế:,Giá trị khấu trừ lũy kế:,,,
Số đầu năm,Giá trị khấu trừ lũy kế: > Số đầu năm,Số đầu năm,-,3.124.438.409,3.124.438.409,,3124438409.0,3124438409.0
Khấu trừ trong năm,Giá trị khấu trừ lũy kế: > Khấu trừ trong năm,Khấu trừ trong năm,-,857.333.892,857.333.892,,857333892.0,857333892.0
Số cuối năm,Giá trị khấu trừ lũy kế: > Số cuối năm,Số cuối năm,-,3.981.772.301,3.981.772.301,,3981772301.0,3981772301.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,21.042.500.000,1.984.813.235,23.027.313.235,21042500000.0,1984813235.0,23027313235.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,21.094.104.300,1.127.479.343,22.221.583.643,21094104300.0,1127479343.0,22221583643.0
