row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm > Nguyên giá,Giá trị ghi số > Số cuối năm > Dự phòng,Giá trị ghi số > Số đầu năm > Nguyên giá,Giá trị ghi số > Số đầu năm > Dự phòng,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị ghi số > Số cuối năm > Nguyên giá,numeric__Giá trị ghi số > Số cuối năm > Dự phòng,numeric__Giá trị ghi số > Số đầu năm > Nguyên giá,numeric__Giá trị ghi số > Số đầu năm > Dự phòng,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,76.906.740.739,-,44.481.521.771,-,76.906.740.739,44.481.521.771,76906740739.0,,44481521771.0,,76906740739.0,44481521771.0
Phải thu khác,Tài sản tài chính > Phải thu khác,Phải thu khác,453.426.869.309,-,161.407.629.379,-,453.426.869.309,161.407.629.379,453426869309.0,,161407629379.0,,453426869309.0,161407629379.0
Tiền và tương đương tiền,Tài sản tài chính > Tiền và tương đương tiền,Tiền và tương đương tiền,343.872.968.705,-,212.920.620.191,-,343.872.968.705,212.920.620.191,343872968705.0,,212920620191.0,,343872968705.0,212920620191.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,874.206.578.753,-,418.809.771.341,-,874.206.578.753,418.809.771.341,874206578753.0,,418809771341.0,,874206578753.0,418809771341.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Vay,Nợ phải trả tài chính > Vay,Vay,2.052.945.972.681,-,618.690.305.273,-,2.052.945.972.681,618.690.305.273,2052945972681.0,,618690305273.0,,2052945972681.0,618690305273.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,1.971.271.636.818,-,981.794.284.232,-,1.971.271.636.818,981.794.284.232,1971271636818.0,,981794284232.0,,1971271636818.0,981794284232.0
Khoản phải trả khác và chi phí phải trả,Nợ phải trả tài chính > Khoản phải trả khác và chi phí phải trả,Khoản phải trả khác và chi phí phải trả,482.585.882.795,-,240.290.404.494,-,482.585.882.795,240.290.404.494,482585882795.0,,240290404494.0,,482585882795.0,240290404494.0
TỔNG CỘNG,Nợ phải trả tài chính > TỔNG CỘNG,TỔNG CỘNG,4.506.803.492.294,-,1.840.774.993.999,-,4.506.803.492.294,1.840.774.993.999,4506803492294.0,,1840774993999.0,,4506803492294.0,1840774993999.0
