row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Lợi ích ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Lợi ích ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Lợi ích ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Lợi ích ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,15.404.730.066,12.806.327.995,2.598.402.071,9.346.006.165,15404730066.0,12806327995.0,2598402071.0,9346006165.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,15.404.730.066,12.806.327.995,,,15404730066.0,12806327995.0,,
Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,,,2.598.402.071,9.346.006.165,,,2598402071.0,9346006165.0
