row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối,Vốn khác,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Vốn khác,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,109.567.040.000,151.578.368.286,-,538.007.977.935,1.130.494.084,800.283.880.305,109567040000.0,151578368286.0,,538007977935.0,1130494084.0,800283880305.0
Phát hành cổ phiếu riêng lẻ,Năm trước: > Phát hành cổ phiếu riêng lẻ,Phát hành cổ phiếu riêng lẻ,6.851.120.000,5.015.510.000,-,-,-,11.866.630.000,6851120000.0,5015510000.0,,,,11866630000.0
Phát hành cổ phiếu thường,Năm trước: > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,119.876.180.000,(119.876.180.000),-,-,-,-,119876180000.0,-119876180000.0,,,,
Phát hành cổ phiếu trả cổ tức,Năm trước: > Phát hành cổ phiếu trả cổ tức,Phát hành cổ phiếu trả cổ tức,829.962.270.000,-,-,(829.962.270.000),-,-,829962270000.0,,,-829962270000.0,,
Phát hành cổ phiếu ESOP,Năm trước: > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,53.311.180.000,-,-,(53.311.180.000),-,-,53311180000.0,,,-53311180000.0,,
"Trích quỹ khen thường,phúc lợi","Năm trước: > Trích quỹ khen thường,phúc lợi","Trích quỹ khen thường,phúc lợi",-,-,-,(5.000.000.000),-,(5.000.000.000),,,,-5000000000.0,,-5000000000.0
Mua lại cổ phiếu,Năm trước: > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(300.394.500),-,-,(300.394.500),,,-300394500.0,,,-300394500.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,668.106.031.832,-,668.106.031.832,,,,668106031832.0,,668106031832.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,1.119.567.790.000,36.717.698.286,(300.394.500),317.840.559.767,1.130.494.084,1.474.956.147.637,1119567790000.0,36717698286.0,-300394500.0,317840559767.0,1130494084.0,1474956147637.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.119.567.790.000,36.717.698.286,(300.394.500),317.840.559.767,1.130.494.084,1.474.956.147.637,1119567790000.0,36717698286.0,-300394500.0,317840559767.0,1130494084.0,1474956147637.0
Phát hành cổ phiếu thường (i),Năm nay: > Phát hành cổ phiếu thường (i),Phát hành cổ phiếu thường (i),279.471.970.000,-,-,(279.471.970.000),-,-,279471970000.0,,,-279471970000.0,,
Ảnh hưởng do các thay đổi trongtỷ lệ sở hữu công ty con (ii),Năm nay: > Ảnh hưởng do các thay đổi trongtỷ lệ sở hữu công ty con (ii),Ảnh hưởng do các thay đổi trongtỷ lệ sở hữu công ty con (ii),-,-,-,(62.781.933.366),-,(62.781.933.366),,,,-62781933366.0,,-62781933366.0
Phát hành cổ phiếu ESOP (iii),Năm nay: > Phát hành cổ phiếu ESOP (iii),Phát hành cổ phiếu ESOP (iii),69.849.980.000,-,-,(69.849.980.000),-,-,69849980000.0,,,-69849980000.0,,
Mua lại cổ phiếu,Năm nay: > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(2.153.900.000),-,-,(2.153.900.000),,,-2153900000.0,,,-2153900000.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.071.893.519.399,-,1.071.893.519.399,,,,1071893519399.0,,1071893519399.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,1.468.889.740.000,36.717.698.286,(2.454.294.500),977.630.195.800,1.130.494.084,2.481.913.833.670,1468889740000.0,36717698286.0,-2454294500.0,977630195800.0,1130494084.0,2481913833670.0
