row_label_raw,row_label_full,col_0,"Nhà xưởng, vật kiến trúc",Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,"numeric__Nhà xưởng, vật kiến trúc",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,453.611.268.500,8.871.532.798,95.999.209.608,558.482.010.906,453611268500.0,8871532798.0,95999209608.0,558482010906.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,453.428.146.442,20.005.610.881,79.219.847.533,552.653.604.856,453428146442.0,20005610881.0,79219847533.0,552653604856.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,72.175.811.724,-,-,72.175.811.724,72175811724.0,,,72175811724.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,(22.528.529),(75.513.891),(443.871.868),(541.914.288),-22528529.0,-75513891.0,-443871868.0,-541914288.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,979.192.698.137,28.801.629.788,174.775.185.273,1.182.769.513.198,979192698137.0,28801629788.0,174775185273.0,1182769513198.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,120.289.056.488,2.786.255.151,47.075.475.180,170.150.786.819,120289056488.0,2786255151.0,47075475180.0,170150786819.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,160.198.722.524,2.233.962.198,23.745.304.646,186.177.989.368,160198722524.0,2233962198.0,23745304646.0,186177989368.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,(22.528.529),(18.268.635),(443.871.868),(484.669.032),-22528529.0,-18268635.0,-443871868.0,-484669032.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,280.465.250.483,5.001.948.714,70.376.907.958,355.844.107.155,280465250483.0,5001948714.0,70376907958.0,355844107155.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,333.322.212.012,6.085.277.647,48.923.734.428,388.331.224.087,333322212012.0,6085277647.0,48923734428.0,388331224087.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,698.727.447.654,23.799.681.074,104.398.277.315,826.925.406.043,698727447654.0,23799681074.0,104398277315.0,826925406043.0
