row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_4,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_5,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_5
"9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình",,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,"Thiết bị, dụng cụquản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư ngày 01/01/2024,Nguyên giá > Số dư ngày 01/01/2024,Số dư ngày 01/01/2024,27.031.710.641,7.761.018.182,3.288.704.728,1.605.917.005,39.687.350.556,27031710641.0,7761018182.0,3288704728.0,1605917005.0,39687350556.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,7.628.272.273,42.900.000,-,7.671.172.273,,7628272273.0,42900000.0,,7671172273.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(6.471.600.000),(483.185.455),(55.500.000),(7.010.285.455),,-6471600000.0,-483185455.0,-55500000.0,-7010285455.0
Số dư ngày 31/12/2024,Nguyên giá > Số dư ngày 31/12/2024,Số dư ngày 31/12/2024,27.031.710.641,8.917.690.455,2.848.419.273,1.550.417.005,40.348.237.374,27031710641.0,8917690455.0,2848419273.0,1550417005.0,40348237374.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư ngày 01/01/2024,Giá trị hao mòn lũy kế > Số dư ngày 01/01/2024,Số dư ngày 01/01/2024,8.982.927.459,6.132.033.262,3.227.720.618,1.563.367.005,19.906.048.344,8982927459.0,6132033262.0,3227720618.0,1563367005.0,19906048344.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,791.373.384,1.030.370.618,28.511.008,6.475.000,1.856.730.010,791373384.0,1030370618.0,28511008.0,6475000.0,1856730010.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(6.333.053.409),(483.185.455),(19.425.000),(6.835.663.864),,-6333053409.0,-483185455.0,-19425000.0,-6835663864.0
Số dư ngày 31/12/2024,Giá trị hao mòn lũy kế > Số dư ngày 31/12/2024,Số dư ngày 31/12/2024,9.774.300.843,829.350.471,2.773.046.171,1.550.417.005,14.927.114.490,9774300843.0,829350471.0,2773046171.0,1550417005.0,14927114490.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 01/01/2024,Giá trị còn lại > Tại ngày 01/01/2024,Tại ngày 01/01/2024,18.048.783.182,1.628.984.920,60.984.110,42.550.000,19.781.302.212,18048783182.0,1628984920.0,60984110.0,42550000.0,19781302212.0
Tại ngày 31/12/2024,Giá trị còn lại > Tại ngày 31/12/2024,Tại ngày 31/12/2024,17.257.409.798,8.088.339.984,75.373.102,-,25.421.122.884,17257409798.0,8088339984.0,75373102.0,,25421122884.0
