row_label_raw,row_label_full,Khoản mục,"Bản quyền, bằng sáng chế",Chương trình phần mềm,"Nhân hiệu, tên thương mại",Tổng cộng,"numeric__Bản quyền, bằng sáng chế",numeric__Chương trình phần mềm,"numeric__Nhân hiệu, tên thương mại",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư ngày 01/01/2024,Nguyên giá > Số dư ngày 01/01/2024,Số dư ngày 01/01/2024,208.518.000,4.178.725.750,267.227.596,4.654.471.346,208518000.0,4178725750.0,267227596.0,4654471346.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(65.342.000),-,(65.342.000),,-65342000.0,,-65342000.0
Số dư ngày 31/12/2024,Nguyên giá > Số dư ngày 31/12/2024,Số dư ngày 31/12/2024,208.518.000,4.113.383.750,267.227.596,4.589.129.346,208518000.0,4113383750.0,267227596.0,4589129346.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư ngày 01/01/2024,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2024,Số dư ngày 01/01/2024,208.518.000,3.183.931.839,267.227.596,3.659.677.435,208518000.0,3183931839.0,267227596.0,3659677435.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,-,247.906.814,-,247.906.814,,247906814.0,,247906814.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,-,(65.342.000),-,(65.342.000),,-65342000.0,,-65342000.0
Số dư ngày 31/12/2024,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2024,Số dư ngày 31/12/2024,208.518.000,3.366.496.653,267.227.596,3.842.242.249,208518000.0,3366496653.0,267227596.0,3842242249.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 01/01/2024,Giá trị còn lại > Tại ngày 01/01/2024,Tại ngày 01/01/2024,-,994.793.911,-,994.793.911,,994793911.0,,994793911.0
Tại ngày 31/12/2024,Giá trị còn lại > Tại ngày 31/12/2024,Tại ngày 31/12/2024,-,746.887.097,-,746.887.097,,746887097.0,,746887097.0
