row_label_raw,row_label_full,Công ty CP Đầu tư và Phát triển Phú Quốc,78.789.930,135.097.643,numeric__78.789.930,numeric__135.097.643
Bán hàng,Bán hàng,Bán hàng,Bán hàng,Bán hàng,,
Công ty CP Xây dựng C.E.O,Bán hàng > Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,6.795.348.631,1.025.955.179,6795348631.0,1025955179.0
Công ty CP Du lịch C.E.O,Bán hàng > Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,111.047.405,543.162.032,111047405.0,543162032.0
Công ty TNHH C.E.O Quốc tế,Bán hàng > Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,335.111.260,357.899.086,335111260.0,357899086.0
Công ty TNHH C.E.O Hospitality,Bán hàng > Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,907.598.850,215.627.221,907598850.0,215627221.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Bán hàng > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,1.251.992.880,23.500.000,1251992880.0,23500000.0
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Bán hàng > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,20.244.184.894,43.400.532.398,20244184894.0,43400532398.0
Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,Bán hàng > Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,1.671.454.048,529.258.720,1671454048.0,529258720.0
Công ty TNHH Green Phú Quốc,Bán hàng > Công ty TNHH Green Phú Quốc,Công ty TNHH Green Phú Quốc,367.500,1.779.750,367500.0,1779750.0
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Bán hàng > Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,628.849.876,708.789.656,628849876.0,708789656.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Bán hàng > Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,872.835.793,901.007.683,872835793.0,901007683.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Bán hàng > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,2.215.323.067,162.157.450,2215323067.0,162157450.0
Công ty TNHH Phát triển nguồn nhân lực C.E.O,Bán hàng > Công ty TNHH Phát triển nguồn nhân lực C.E.O,Công ty TNHH Phát triển nguồn nhân lực C.E.O,1.069.055.069,1.081.495.159,1069055069.0,1081495159.0
Cho vay,Cho vay,Cho vay,Cho vay,Cho vay,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,140.500.000.000,24.500.000.000,140500000000.0,24500000000.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,132.360.000.000,123.000.000.000,132360000000.0,123000000000.0
Thu tiền cho vay,Thu tiền cho vay,Thu tiền cho vay,Thu tiền cho vay,Thu tiền cho vay,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Thu tiền cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,22.000.000.000,-,22000000000.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Thu tiền cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,30.700.000.000,90.280.000.000,30700000000.0,90280000000.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Lãi cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,6.427.261.642,5.179.515.756,6427261642.0,5179515756.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Lãi cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,12.781.357.972,14.784.675.941,12781357972.0,14784675941.0
Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Cổ tức nhận được > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,118.125.000.000,86.062.500.000,118125000000.0,86062500000.0
