row_label_raw,row_label_full,col_0,col_1,Năm 2024VND,Năm 2023VND,numeric__col_1,numeric__Năm 2024VND,numeric__Năm 2023VND
1. Thu nhập các thành viên Ban Tổng giám đốc,1. Thu nhập các thành viên Ban Tổng giám đốc,1. Thu nhập các thành viên Ban Tổng giám đốc,Chức danh,5.033.156.169,14.000.920.035,,5033156169.0,14000920035.0
Đoàn Văn Minh,Đoàn Văn Minh,Đoàn Văn Minh,Tổng Giám đốc(miễn nhiệm từ ngày 06/5/2024),695.044.515,4.030.947.904,,695044515.0,4030947904.0
Cao Văn Kiên,Cao Văn Kiên,Cao Văn Kiên,Tổng Giám đốc (bổ nhiệm từ ngày 06/5/2024),359.598.210,1.097.542.985,,359598210.0,1097542985.0
Tạ Văn Tố,Tạ Văn Tố,Tạ Văn Tố,Phó Tổng giám đốc,342.857.767,1.157.149.506,,342857767.0,1157149506.0
Đỗ Phương Anh,Đỗ Phương Anh,Đỗ Phương Anh,Phó Tổng giám đốc,998.129.580,2.012.690.625,,998129580.0,2012690625.0
Vũ Thị Lan Anh,Vũ Thị Lan Anh,Vũ Thị Lan Anh,Phó Tổng giám đốc,1.373.541.772,3.737.290.203,,1373541772.0,3737290203.0
Trần Đạo Đức,Trần Đạo Đức,Trần Đạo Đức,Phó Tổng giám đốc,1.263.984.325,1.965.298.812,,1263984325.0,1965298812.0
2. Thu nhập các thành viên HĐQT và kế toán trường,2. Thu nhập các thành viên HĐQT và kế toán trường,2. Thu nhập các thành viên HĐQT và kế toán trường,Chức danh,2.839.495.782,7.988.597.058,,2839495782.0,7988597058.0
Đoàn Văn Bình,Đoàn Văn Bình,Đoàn Văn Bình,Chủ tịch HĐQT,2.009.471.662,5.999.356.065,,2009471662.0,5999356065.0
Đỗ Thị Thơm,Đỗ Thị Thơm,Đỗ Thị Thơm,Kế toán trường,662.024.120,596.800.579,,662024120.0,596800579.0
Trần Trung Kết,Trần Trung Kết,Trần Trung Kết,Thành viên HĐQT,84.000.000,731.720.207,,84000000.0,731720207.0
Hoàng Thiết Hùng,Hoàng Thiết Hùng,Hoàng Thiết Hùng,Thành viên độc lập HĐQT (Miễn nhiệm ngày 03/5/2024),28.000.000,660.720.207,,28000000.0,660720207.0
Nguyễn Văn Đông,Nguyễn Văn Đông,Nguyễn Văn Đông,Thành viên độc lập HĐQT (Bổ nhiệm ngày 03/5/2024),56.000.000,,,56000000.0,
3. Thù lao của các thành viên Ban kiểm soát,3. Thù lao của các thành viên Ban kiểm soát,3. Thù lao của các thành viên Ban kiểm soát,Chức danh,120.000.000,120.000.000,,120000000.0,120000000.0
Trần Thị Thùy Linh,Trần Thị Thùy Linh,Trần Thị Thùy Linh,Trường BKS,48.000.000,48.000.000,,48000000.0,48000000.0
Bùi Đức Thuyên,Bùi Đức Thuyên,Bùi Đức Thuyên,Thành viên BKS,36.000.000,36.000.000,,36000000.0,36000000.0
Nguyễn Thu Phương,Nguyễn Thu Phương,Nguyễn Thu Phương,Thành viên BKS,36.000.000,36.000.000,,36000000.0,36000000.0
