row_label_raw,row_label_full,Công ty CP Xây dựng C.E.O,102.000.000.000,-,102.000.000.000_1,-_1,numeric__102.000.000.000,numeric__-,numeric__102.000.000.000_1,numeric__-_1
Công ty CP Phát triển dịch vụ C.E.O (1),Công ty CP Phát triển dịch vụ C.E.O (1),Công ty CP Phát triển dịch vụ C.E.O (1),-,-,33.150.000.000,-,,,33150000000.0,
Trường Cao đẳng Đại Việt (2),Trường Cao đẳng Đại Việt (2),Trường Cao đẳng Đại Việt (2),176.900.000.000,(48.273.409.392),176.900.000.000,(42.067.171.783),176900000000.0,-48273409392.0,176900000000.0,-42067171783.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,306.029.000.000,(237.600.000.000),306.029.000.000,(237.600.000.000),306029000000.0,-237600000000.0,306029000000.0,-237600000000.0
Công ty CP Du lịch C.E.O (3),Công ty CP Du lịch C.E.O (3),Công ty CP Du lịch C.E.O (3),-,-,10.200.000.000,(4.742.066.789),,,10200000000.0,-4742066789.0
Công ty CP Phát triển nhà và Độ thị Phú Quốc,Công ty CP Phát triển nhà và Độ thị Phú Quốc,Công ty CP Phát triển nhà và Độ thị Phú Quốc,319.249.183.492,-,319.249.183.492,-,319249183492.0,,319249183492.0,
Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,446.604.100.000,-,446.604.100.000,-,446604100000.0,,446604100000.0,
Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,20.000.000.000,-,20.000.000.000,-,20000000000.0,,20000000000.0,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn (4),Công ty CP Đầu tư và Phát triển du lịch Vân Đồn (4),Công ty CP Đầu tư và Phát triển du lịch Vân Đồn (4),1.757.500.000.000,-,1.263.750.000.000,-,1757500000000.0,,1263750000000.0,
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,10.000.000.000,(7.951.852.410),10.000.000.000,(7.845.035.532),10000000000.0,-7951852410.0,10000000000.0,-7845035532.0
Cộng,Cộng,Cộng,3.722.202.263.492,(293.825.261.802),3.271.802.263.492,(292.254.274.104),3722202263492.0,-293825261802.0,3271802263492.0,-292254274104.0
