row_label_raw,row_label_full,Công ty CP Xây dựng C.E.O,520.920.839,-,16.047.251.684,-_1,numeric__520.920.839,numeric__-,numeric__16.047.251.684,numeric__-_1
Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,11.928.052.057,-,20.632.788.366,-,11928052057.0,,20632788366.0,
Công ty CP Xây dựng Win,Công ty CP Xây dựng Win,Công ty CP Xây dựng Win,6.236.011.799,-,-,-,6236011799.0,,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,9.507.018.887,(340.000.000),5.291.199.214,(340.000.000),9507018887.0,-340000000.0,5291199214.0,-340000000.0
Cộng,Cộng,Cộng,28.192.003.582,(340.000.000),48.982.815.114,(340.000.000),28192003582.0,-340000000.0,48982815114.0,-340000000.0
