row_label_raw,row_label_full,col_0,col_1,01/01/2024,Số phải nộp trong năm,Số đã thực nộp trong năm,Đơn vị tính: VND 31/12/2024,numeric__col_1,numeric__01/01/2024,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Đơn vị tính: VND 31/12/2024
a),a),a),Phải nộp,,,,,,,,,
a),a) > a),a),Thuế thu nhập cá nhân,486.673.878,2.596.391.706,2.858.117.513,224.948.071,,486673878.0,2596391706.0,2858117513.0,224948071.0
a),a) > a),a),"Thuế nhà đất, tiền thuê đất",220.473.291,3.096.018.233,3.316.491.524,-,,220473291.0,3096018233.0,3316491524.0,
a),a) > a),a),Các loại thuế khác,-,922.000.000,922.000.000,-,,,922000000.0,922000000.0,
a),a) > a),a),Cộng,707.147.169,6.614.409.939,7.096.609.037,224.948.071,,707147169.0,6614409939.0,7096609037.0,224948071.0
b),b),b),Phải thu,,,,,,,,,
b),b) > b),b),Thuế GTGT,4.002,12.085.909,12.085.909,4.002,,4002.0,12085909.0,12085909.0,4002.0
b),b) > b),b),Thuế thu nhập doanh nghiệp,732.532.348,(30.213.439),55.265.645,818.011.432,,732532348.0,-30213439.0,55265645.0,818011432.0
b),b) > b),b),"Thuế nhà đất, tiền thuê đất",-,-,66.141.987,66.141.987,,,,66141987.0,66141987.0
b),b) > b),b),Cộng,732.536.350,(18.127.530),133.493.541,884.157.421,,732536350.0,-18127530.0,133493541.0,884157421.0
