row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,31/12/2024,Đơn vị tính: VND 01/01/2024,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024,numeric__Đơn vị tính: VND 01/01/2024
A,A,A,TÀI SẢN NGĂN HẠN,100,,2.828.629.062.645,3.290.488.142.009,,100.0,,2828629062645.0,3290488142009.0
I,I,I,Tiền và các khoản tương đương tiền,110,V.1.,593.845.502.045,862.951.437.491,,110.0,,593845502045.0,862951437491.0
1,1,1,Tiền,111,,32.918.019.035,12.351.437.491,,111.0,,32918019035.0,12351437491.0
2,2,2,Các khoản tương đương tiền,112,,560.927.483.010,850.600.000.000,,112.0,,560927483010.0,850600000000.0
II,II,II,Đầu tư tài chính ngắn hạn,120,,672.519.317.538,1.022.099.000.000,,120.0,,672519317538.0,1022099000000.0
1,1,1,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2.,672.519.317.538,1.022.099.000.000,,123.0,,672519317538.0,1022099000000.0
III,III,III,Các khoản phải thu ngắn hạn,130,,1.203.144.572.364,1.092.867.815.710,,130.0,,1203144572364.0,1092867815710.0
1,1,1,Phải thu ngắn hạn của khách hàng,131,V.3.,43.956.553.925,52.482.730.994,,131.0,,43956553925.0,52482730994.0
2,2,2,Trà trước cho người bán ngắn hạn,132,V.4.,28.192.003.582,48.982.815.114,,132.0,,28192003582.0,48982815114.0
3,3,3,Phải thu về cho vay ngắn hạn,135,V.5.,484.880.000.000,264.720.000.000,,135.0,,484880000000.0,264720000000.0
4,4,4,Phải thu ngắn hạn khác,136,V.6.,654.134.861.207,734.921.115.952,,136.0,,654134861207.0,734921115952.0
5,5,5,Dự phòng phải thu ngắn hạn khó đòi,137,V.7.,(8.018.846.350),(8.238.846.350),,137.0,,-8018846350.0,-8238846350.0
IV,IV,IV,Hàng tồn kho,140,V.8.,346.115.635.012,301.070.905.176,,140.0,,346115635012.0,301070905176.0
1,1,1,Hàng tồn kho,141,,346.115.635.012,301.070.905.176,,141.0,,346115635012.0,301070905176.0
V,V,V,Tài sản ngắn hạn khác,150,,13.004.035.686,11.498.983.632,,150.0,,13004035686.0,11498983632.0
1,1,1,Chi phí trả trước ngắn hạn,151,V.13.,1.790.722.093,2.686.994.133,,151.0,,1790722093.0,2686994133.0
2,2,2,Thuế GTGT được khấu trừ,152,,10.329.156.172,8.079.453.149,,152.0,,10329156172.0,8079453149.0
3,3,3,Thuế và các khoản khác phải thu Nhà nước,153,V.16.,884.157.421,732.536.350,,153.0,,884157421.0,732536350.0
B,B,B,TÀI SẢN DÀI HẠN,200,,3.710.575.880.681,3.192.906.102.070,,200.0,,3710575880681.0,3192906102070.0
I,I,I,Các khoản phải thu dài hạn,210,,1.692.084.000,1.692.084.000,,210.0,,1692084000.0,1692084000.0
1,1,1,Phải thu dài hạn khác,216,V.6.,1.692.084.000,1.692.084.000,,216.0,,1692084000.0,1692084000.0
II,II,II,Tài sản cố định,220,,26.168.009.981,20.776.096.123,,220.0,,26168009981.0,20776096123.0
1,1,1,Tài sản cố định hữu hình,221,V.9.,25.421.122.884,19.781.302.212,,221.0,,25421122884.0,19781302212.0
-,-,-,Nguyên giá,222,,40.348.237.374,39.687.350.556,,222.0,,40348237374.0,39687350556.0
-,-,-,Giá trị hao mòn lũy kế,223,,(14.927.114.490),(19.906.048.344),,223.0,,-14927114490.0,-19906048344.0
2,2,2,Tài sản cố định vô hình,227,V.10.,746.887.097,994.793.911,,227.0,,746887097.0,994793911.0
-,-,-,Nguyên giá,228,,4.589.129.346,4.654.471.346,,228.0,,4589129346.0,4654471346.0
-,-,-,Giá trị hao mòn lũy kế,229,,(3.842.242.249),(3.659.677.435),,229.0,,-3842242249.0,-3659677435.0
III,III,III,Bất động sản đầu tư,230,V.11.,159.185.281.467,164.180.181.273,,230.0,,159185281467.0,164180181273.0
-,-,-,Nguyên giá,231,,224.903.449.704,224.903.449.704,,231.0,,224903449704.0,224903449704.0
-,-,-,Giá trị hao mòn lũy kế,232,,(65.718.168.237),(60.723.268.431),,232.0,,-65718168237.0,-60723268431.0
IV,IV,IV,Tài sản dở dang dài hạn,240,,89.776.390.319,20.742.730.680,,240.0,,89776390319.0,20742730680.0
1,1,1,Chi phí xây dựng cơ bản dở dang,242,V.12.,89.776.390.319,20.742.730.680,,242.0,,89776390319.0,20742730680.0
V,V,V,Đầu tư tài chính dài hạn,250,V.2.,3.428.377.001.690,2.979.547.989.388,,250.0,,3428377001690.0,2979547989388.0
1,1,1,Đầu tư vào công ty con,251,,3.722.202.263.492,3.271.802.263.492,,251.0,,3722202263492.0,3271802263492.0
2,2,2,Dự phòng đầu tư tài chính dài hạn,254,,(293.825.261.802),(292.254.274.104),,254.0,,-293825261802.0,-292254274104.0
VI,VI,VI,Tài sản dài hạn khác,260,,5.377.113.224,5.967.020.606,,260.0,,5377113224.0,5967020606.0
1,1,1,Chi phí trả trước dài hạn,261,V.13.,5.377.113.224,5.967.020.606,,261.0,,5377113224.0,5967020606.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,6.539.204.943.326,6.483.394.244.079,,270.0,,6539204943326.0,6483394244079.0
