row_label_raw,row_label_full,Công ty TNHH MTV Phú Kiên Phú Quốc,36.630.440,27.105.456,numeric__36.630.440,numeric__27.105.456
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,239.745.311,309.615.552,239745311.0,309615552.0
Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,-,36.752.960,,36752960.0
Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,1.348.828.054,582.184.592,1348828054.0,582184592.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,446.810.246,97.948.656,446810246.0,97948656.0
Công ty TNHH Green Phú Quốc,Công ty TNHH Green Phú Quốc,Công ty TNHH Green Phú Quốc,-,1.957.725,,1957725.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,
Công ty CP Xây dựng C.E.O,Trả trước cho người bán > Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,520.920.839,16.047.251.684,520920839.0,16047251684.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Trả trước cho người bán > Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,1.107.340.249,62.020.148,1107340249.0,62020148.0
Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Trả trước cho người bán > Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,11.928.052.057,20.632.788.366,11928052057.0,20632788366.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Phải thu về cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,205.500.000.000,87.000.000.000,205500000000.0,87000000000.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Phải thu về cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,279.380.000.000,177.720.000.000,279380000000.0,177720000000.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Phải thu khác > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,-,59.346.000.000,,59346000000.0
Công ty CP Đầu tư và Phát triển Nha Trang,Phải thu khác > Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,-,5.940.000.000,,5940000000.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Phải thu khác > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,5.516.430.822,12.509.139.044,5516430822.0,12509139044.0
