row_label_raw,row_label_full,Chỉ tiêu > Số dư tại 01/01/2023 > Tăng vốn trong năm trước (i) > Lãi trong năm trước,Vốn góp của chủ sở hữu > 2.573.399.850.000 > 2.573.387.750.000 > -,Thặng dư vốn cổ phần > -,Lợi nhuận sau thuế chưa phân phối > 728.434.615.450 > - > 106.043.823.858,Đơn vị tính: VND Cộng > 3.301.834.465.450 > 2.573.387.750.000 > 106.043.823.858,numeric__Vốn góp của chủ sở hữu > 2.573.399.850.000 > 2.573.387.750.000 > -,numeric__Thặng dư vốn cổ phần > -,numeric__Lợi nhuận sau thuế chưa phân phối > 728.434.615.450 > - > 106.043.823.858,numeric__Đơn vị tính: VND Cộng > 3.301.834.465.450 > 2.573.387.750.000 > 106.043.823.858
Giảm khác,Giảm khác,Giảm khác,-,(433.150.000),-,(433.150.000),,-433150000.0,,-433150000.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,(13.582.343.995),(13.582.343.995),,,-13582343995.0,-13582343995.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,(27.164.687.990),(27.164.687.990),,,-27164687990.0,-27164687990.0
Số dư tại 31/12/2023,Số dư tại 31/12/2023,Số dư tại 31/12/2023,5.146.787.600.000,(433.150.000),793.731.407.323,5.940.085.857.323,5146787600000.0,-433150000.0,793731407323.0,5940085857323.0
Tăng vốn trong năm nay (ii),Tăng vốn trong năm nay (ii),Tăng vốn trong năm nay (ii),257.276.720.000,-,(257.276.720.000),-,257276720000.0,,-257276720000.0,
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,164.054.665.126,164.054.665.126,,,164054665126.0,164054665126.0
Trích Quỹ đầu tư phát triển (iii),Trích Quỹ đầu tư phát triển (iii),Trích Quỹ đầu tư phát triển (iii),-,-,(5.302.191.193),(5.302.191.193),,,-5302191193.0,-5302191193.0
"Trích Quỹ khen thưởng, phúc lợi (iii)","Trích Quỹ khen thưởng, phúc lợi (iii)","Trích Quỹ khen thưởng, phúc lợi (iii)",-,-,(10.604.382.386),(10.604.382.386),,,-10604382386.0,-10604382386.0
Số dư tại 31/12/2024,Số dư tại 31/12/2024,Số dư tại 31/12/2024,5.404.064.320.000,(433.150.000),684.602.778.870,6.088.233.948.870,5404064320000.0,-433150000.0,684602778870.0,6088233948870.0
