row_label_raw,row_label_full,Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,Năm nayVND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,Năm trướcVND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,numeric__Năm nayVND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại,numeric__Năm trướcVND > Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,130.436.890.646,58.286.407.204,130436890646.0,58286407204.0
Hoạt động kinh doanh chính,Hoạt động kinh doanh chính,Hoạt động kinh doanh chính,130.436.890.646,58.286.407.204,130436890646.0,58286407204.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,(55.497.626.028),3.393.656.741,-55497626028.0,3393656741.0
Trừ: Thu nhập không chịu thuế (*),Trừ: Thu nhập không chịu thuế (*),Trừ: Thu nhập không chịu thuế (*),60.153.854.261,-,60153854261.0,
Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,4.656.228.233,3.393.656.741,4656228233.0,3393656741.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,74.939.264.618,61.680.063.945,74939264618.0,61680063945.0
Thuế suất thông thường,Thuế suất thông thường,Thuế suất thông thường,20%,20%,0.2,0.2
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,14.987.852.925,12.336.012.789,14987852925.0,12336012789.0
Chi phí thuế thu nhập hiện hành năm nay,Chi phí thuế thu nhập hiện hành năm nay,Chi phí thuế thu nhập hiện hành năm nay,14.987.852.925,12.336.012.789,14987852925.0,12336012789.0
Chi phí thuế thu nhập hiện hành năm trước,Chi phí thuế thu nhập hiện hành năm trước,Chi phí thuế thu nhập hiện hành năm trước,-,722.299.188,,722299188.0
Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,14.987.852.925,13.058.311.977,14987852925.0,13058311977.0
