row_label_raw,row_label_full,Số đầu năm,Dưới 1 nămVND > Số đầu năm,Từ 1 - 5 nămVND > Số đầu năm,TổngVND > Số đầu năm,numeric__Dưới 1 nămVND > Số đầu năm,numeric__Từ 1 - 5 nămVND > Số đầu năm,numeric__TổngVND > Số đầu năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,13.676.118.684,-,13.676.118.684,13676118684.0,,13676118684.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,20.922.790.704,499.706.000.000,520.628.790.704,20922790704.0,499706000000.0,520628790704.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,834.077.012.986,-,834.077.012.986,834077012986.0,,834077012986.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,1.552.832.297.286,1.552.832.297.286,,1552832297286.0,1552832297286.0
Cộng,Cộng,Cộng,868.675.922.374,2.052.538.297.286,2.921.214.219.660,868675922374.0,2052538297286.0,2921214219660.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,48.262.870.450,-,48.262.870.450,48262870450.0,,48262870450.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,158.045.454,-,158.045.454,158045454.0,,158045454.0
Công nợ tài chính khác,Số đầu năm > Công nợ tài chính khác,Công nợ tài chính khác,164.164.169,-,164.164.169,164164169.0,,164164169.0
Cộng,Số đầu năm > Cộng,Cộng,48.585.080.073,-,48.585.080.073,48585080073.0,,48585080073.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,820.090.842.301,2.052.538.297.286,2.872.629.139.587,820090842301.0,2052538297286.0,2872629139587.0
