row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị: VNDNăm trước,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(10.772.824.481),(13.478.550.025),15.0,-10772824481.0,-13478550025.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(178.478.591.995),58.447.005.498,20.0,-178478591995.0,58447005498.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác","1. Tiền chi để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác",21,(9.559.260),(1.766.278.888),21.0,-9559260.0,-1766278888.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ","2. Tiền thu từ thanh lý, nhượng bán TSCĐ",22,779.220.779,-,22.0,779220779.0,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(1.415.084.910.510),(1.298.091.693.612),23.0,-1415084910510.0,-1298091693612.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác",24,1.441.584.875.041,1.256.966.107.859,24.0,1441584875041.0,1256966107859.0
5. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,5. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,102.050.000.000,-,26.0,102050000000.0,
"6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,51.967.087.328,46.255.288.710,27.0,51967087328.0,46255288710.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,181.286.713.378,3.363.424.069,30.0,181286713378.0,3363424069.0
III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH,,,
"1. Tiền trả lại vốn góp cho các chủ sở hữu, mua lạicổ phiếu đã phát hành","III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH > 1. Tiền trả lại vốn góp cho các chủ sở hữu, mua lạicổ phiếu đã phát hành","1. Tiền trả lại vốn góp cho các chủ sở hữu, mua lạicổ phiếu đã phát hành",32,-,(92.599.450.000),32.0,,-92599450000.0
2. Tiền thu từ đi vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,86.000.000.000,-,33.0,86000000000.0,
3. Tiền trả nợ gốc vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(86.000.000.000),-,34.0,-86000000000.0,
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,-,(92.599.450.000),40.0,,-92599450000.0
Lưu chuyển tiền thuần trong năm (\( 50 = 20+30+40 \)),III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH > Lưu chuyển tiền thuần trong năm (\( 50 = 20+30+40 \)),Lưu chuyển tiền thuần trong năm (\( 50 = 20+30+40 \)),50,2.808.121.383,(30.789.020.433),50.0,2808121383.0,-30789020433.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,13.676.118.684,44.439.370.604,60.0,13676118684.0,44439370604.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(569.512),25.768.513,61.0,-569512.0,25768513.0
Tiền và tương đương tiền cuối năm (\( 70 = 50+60+61 \)),III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CIIÍNH > Tiền và tương đương tiền cuối năm (\( 70 = 50+60+61 \)),Tiền và tương đương tiền cuối năm (\( 70 = 50+60+61 \)),70,16.483.670.555,13.676.118.684,70.0,16483670555.0,13676118684.0
