row_label_raw,row_label_full,TÀISẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A - TÀISẢN NGĂN HẠN,A - TÀISẢN NGĂN HẠN,A - TÀISẢN NGĂN HẠN,100,,1.150.046.376.161,925.120.535.148,100.0,,1150046376161.0,925120535148.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,16.483.670.555,13.676.118.684,110.0,4.0,16483670555.0,13676118684.0
1. Tiền,1. Tiền,1. Tiền,111,,16.483.670.555,13.676.118.684,111.0,,16483670555.0,13676118684.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,807.577.048.455,834.077.012.986,120.0,5.0,807577048455.0,834077012986.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,807.577.048.455,834.077.012.986,123.0,,807577048455.0,834077012986.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,83.789.998.024,20.922.790.704,130.0,,83789998024.0,20922790704.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,2.800.218.182,9.972.381.680,131.0,,2800218182.0,9972381680.0
2. Phải thu ngắn hạn khác,2. Phải thu ngắn hạn khác,2. Phải thu ngắn hạn khác,136,6,80.989.779.842,10.950.409.024,136.0,6.0,80989779842.0,10950409024.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,7,223.800.546.827,56.404.233.699,140.0,7.0,223800546827.0,56404233699.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,233.912.560.489,62.739.705.275,141.0,,233912560489.0,62739705275.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(10.112.013.662),(6.335.471.576),149.0,,-10112013662.0,-6335471576.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,18.395.112.300,40.379.075,150.0,,18395112300.0,40379075.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,24.416.666,-,151.0,,24416666.0,
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,18.370.695.634,-,152.0,,18370695634.0,
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,-,40.379.075,153.0,,,40379075.0
B - TÀISẢN DÀI HẠN,B - TÀISẢN DÀI HẠN,B - TÀISẢN DÀI HẠN,200,,1.958.572.178.738,2.061.037.611.298,200.0,,1958572178738.0,2061037611298.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,499.706.000.000,499.706.000.000,210.0,,499706000000.0,499706000000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,6,499.706.000.000,499.706.000.000,216.0,6.0,499706000000.0,499706000000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,3.870.808.671,6.358.704.925,220.0,,3870808671.0,6358704925.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,8,3.870.808.671,6.358.704.925,221.0,8.0,3870808671.0,6358704925.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,9.740.263.337,10.735.022.391,222.0,,9740263337.0,10735022391.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(5.869.454.666),(4.376.317.466),223.0,,-5869454666.0,-4376317466.0
