row_label_raw,row_label_full,đối tượng,Mối quan hệ,31/12/2017 > Giá trị,31/12/2017 > Số có khả năng trả nợ,01/01/2017 > Giá trị,01/01/2017 > Số có khả năng trả nợ,numeric__Mối quan hệ,numeric__31/12/2017 > Giá trị,numeric__31/12/2017 > Số có khả năng trả nợ,numeric__01/01/2017 > Giá trị,numeric__01/01/2017 > Số có khả năng trả nợ
Công ty CP Đầu tư và phát triển Đa Quốc Gia IDI,Công ty CP Đầu tư và phát triển Đa Quốc Gia IDI,Công ty CP Đầu tư và phát triển Đa Quốc Gia IDI,Cty Liên kết,2.886.891.980,2.886.891.980,2.886.891.980,2.886.891.980,,2886891980.0,2886891980.0,2886891980.0,2886891980.0
Công ty CP Du lịch Đồng Tháp,Công ty CP Du lịch Đồng Tháp,Công ty CP Du lịch Đồng Tháp,Cty con,85.949.000,85.949.000,255.847.000,255.847.000,,85949000.0,85949000.0,255847000.0,255847000.0
