row_label_raw,row_label_full,01/01/2017,01/01/2017_1,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,numeric__01/01/2017_1,numeric__An Giang,numeric__Đồng Tháp,numeric__Địa bàn khác,numeric__Tổng cộng
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,,3.271.153.094.170,331.479.749.236,1.044.517.851.787,4.647.150.695.193,,3271153094170.0,331479749236.0,1044517851787.0,4647150695193.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,,3.271.153.094.170,331.479.749.236,1.044.517.851.787,4.647.150.695.193,,3271153094170.0,331479749236.0,1044517851787.0,4647150695193.0
Nợ phải trả bộ phận,Tài sản không phân bổ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,,617.086.977.513,510.420.916.176,53.563.912.790,1.181.071.806.479,,617086977513.0,510420916176.0,53563912790.0,1181071806479.0
Nợp phải trả không phân bổ,Tài sản không phân bổ > Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,,942.307.096.373,,,,,942307096373.0
Tổng nợ phải trả,Tài sản không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,,617.086.977.513,510.420.916.176,53.563.912.790,2.123.378.902.852,,617086977513.0,510420916176.0,53563912790.0,2123378902852.0
b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phân thứ yếu theo lĩnh vực kinh doanh,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng cộng,,,,,
Năm nay,Năm nay,Năm nay,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,398.737.120.202,97.083.409.091,401.093.466.627,986.862.628.248,1.883.776.624.168,398737120202.0,97083409091.0,401093466627.0,986862628248.0,1883776624168.0
Tài sản bộ phận,Năm nay > Tài sản bộ phận,Tài sản bộ phận,3.169.545.005.264,249.240.233.693,739.571.136.300,1.084.968.740.725,5.243.325.115.982,3169545005264.0,249240233693.0,739571136300.0,1084968740725.0,5243325115982.0
Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Năm nay > Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,,,,,60.120.766.817,,,,,60120766817.0
Năm trước,Năm trước,Năm trước,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,359.752.720.447,271.559.790.544,311.885.917.676,387.520.335.239,1.330.718.763.906,359752720447.0,271559790544.0,311885917676.0,387520335239.0,1330718763906.0
Tài sản bộ phận,Năm trước > Tài sản bộ phận,Tài sản bộ phận,3.088.069.421.384,269.537.878.254,826.213.373.885,463.330.021.670,4.647.150.695.193,3088069421384.0,269537878254.0,826213373885.0,463330021670.0,4647150695193.0
Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Năm trước > Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,,,,,39.457.007.553,,,,,39457007553.0
