row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Giá trị giao dịch (VND),numeric__Nội dung nghiệp vụ,numeric__Giá trị giao dịch (VND)
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,,
,,,Bán thức ăn cá,117.304.916.860,,117304916860.0
,,,Tổng thầu Xây dựng nhà máy thức ăn,63.055.120.000,,63055120000.0
,,,Mua Cá Tra fillet,78.349.106.600,,78349106600.0
,,,Chuyển nhượng QSDD,38.244.448.000,,38244448000.0
,,,Phải trả tiền chi hộ phí & tiền hoa hồng,2.076.566.640,,2076566640.0
,,,Chi hộ phí ủy thác xuất khẩu,816.200.000,,816200000.0
,,,Mua cá rõ phi,240.800.000,,240800000.0
,,,Phải trả tiền chi hộ cước vận chuyển,1.015.656.511,,1015656511.0
,,,Phải thu tiền ủy thác nhập khẩu,85.434.799.519,,85434799519.0
,,,Phải thu tiền bán tài sản,45.865.000.000,,45865000000.0
,,,Phải trả tiền chi hộ bảo hiểm,483.764.500,,483764500.0
+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,,
,,,Xuất bán bột cá,459.469.813.190,,459469813190.0
,,,Xuất bán mỡ cá,46.723.200.000,,46723200000.0
+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,,
,,,Lãi vay,1.388.781.000,,1388781000.0
,,,Tiếp khách + Vé máy bay,1.617.564.018,,1617564018.0
,,,Thiết bị khách sạn Bảo Giang,2.400.000.000,,2400000000.0
,,,Cho vay,15.355.660.000,,15355660000.0
+ Công ty CP ĐT TC & Truyền Thông Quốc Tế,+ Công ty CP ĐT TC & Truyền Thông Quốc Tế,+ Công ty CP ĐT TC & Truyền Thông Quốc Tế,+ Công ty CP ĐT TC & Truyền Thông Quốc Tế,+ Công ty CP ĐT TC & Truyền Thông Quốc Tế,,
,,,Mượn tiền tạm,1.002.000.000,,1002000000.0
+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,,
,,,Tiền nền bến xe Châu Đốc,11.502.720.000,,11502720000.0
,,,Cho mượn vốn + bảo hiểm,6.446.502.000,,6446502000.0
,,,Tiền thuê 02 căn hộ Hà Nội,553.624.256,,553624256.0
,,,Thiết kế công trình,520.844.000,,520844000.0
