row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Các khoản phải thu (VND),numeric__Nội dung nghiệp vụ,numeric__Các khoản phải thu (VND)
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,,,,
Tiền chuyển nhượng QSDD,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia > Tiền chuyển nhượng QSDD,Tiền chuyển nhượng QSDD,,12.907.982.000,,12907982000.0
Tiền Ủy thác nhập khẩu 36 Silo Nhà máy thức ăn cho cá,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia > Tiền Ủy thác nhập khẩu 36 Silo Nhà máy thức ăn cho cá,Tiền Ủy thác nhập khẩu 36 Silo Nhà máy thức ăn cho cá,,75.344.499.519,,75344499519.0
+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,,,,
Bán mỡ cá,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản > Bán mỡ cá,Bán mỡ cá,,9.980.000,,9980000.0
Tiền chi hộ báo hiểm,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản > Tiền chi hộ báo hiểm,Tiền chi hộ báo hiểm,,86.528.185,,86528185.0
+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,,,,
Cho mượn vốn + bảo hiểm,+ Công ty CP Tư vấn và Đầu tư Tài chính > Cho mượn vốn + bảo hiểm,Cho mượn vốn + bảo hiểm,,5.932.877.744,,5932877744.0
Bán đất nền,+ Công ty CP Tư vấn và Đầu tư Tài chính > Bán đất nền,Bán đất nền,,5.379.136.000,,5379136000.0
+ Công ty Phú Hùng Phú Quốc,+ Công ty Phú Hùng Phú Quốc,+ Công ty Phú Hùng Phú Quốc,,,,
Chi mượn vốn,+ Công ty Phú Hùng Phú Quốc > Chi mượn vốn,Chi mượn vốn,,103.611.900,,103611900.0
Tiền thi công KDL Phú Quốc,+ Công ty Phú Hùng Phú Quốc > Tiền thi công KDL Phú Quốc,Tiền thi công KDL Phú Quốc,,7.448.700.000,,7448700000.0
+ Công ty CP Truyền Thông Quốc Tế,+ Công ty CP Truyền Thông Quốc Tế,+ Công ty CP Truyền Thông Quốc Tế,,,,
Chi mượn vốn,+ Công ty CP Truyền Thông Quốc Tế > Chi mượn vốn,Chi mượn vốn,,1.002.000.000,,1002000000.0
+ Công ty Sao Mai Super Feed,+ Công ty Sao Mai Super Feed,+ Công ty Sao Mai Super Feed,,,,
Chi mượn vốn,+ Công ty Sao Mai Super Feed > Chi mượn vốn,Chi mượn vốn,,133.501.600,,133501600.0
Bên liên quan ( tiếp theo),Bên liên quan ( tiếp theo),Bên liên quan ( tiếp theo),Nội dung nghiệp vụ,Các khoản phải trả (VND),,
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,,,,
Tiền bán thức ăn cho cá,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia > Tiền bán thức ăn cho cá,Tiền bán thức ăn cho cá,,77.319.525.210,,77319525210.0
Ứng trước tiền tổng thầu - Nhà máy thức ăn,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia > Ứng trước tiền tổng thầu - Nhà máy thức ăn,Ứng trước tiền tổng thầu - Nhà máy thức ăn,,409.080.026.412,,409080026412.0
Mua cá thành phẩm,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia > Mua cá thành phẩm,Mua cá thành phẩm,,5.171.301.216,,5171301216.0
Tiền nguyên liệu thức ăn,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia > Tiền nguyên liệu thức ăn,Tiền nguyên liệu thức ăn,,2.886.891.980,,2886891980.0
Bảo hiểm phải trả,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia > Bảo hiểm phải trả,Bảo hiểm phải trả,,483.764.500,,483764500.0
+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,,,,
Thiết kế công trình,+ Công ty CP Tư vấn và Đầu tư Tài chính > Thiết kế công trình,Thiết kế công trình,,520.844.000,,520844000.0
+ Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,,,,
Tiền vé máy bay + tiếp khách,+ Công ty Du Lịch An Giang > Tiền vé máy bay + tiếp khách,Tiền vé máy bay + tiếp khách,,134.986.000,,134986000.0
Tiền bảo hiểm,+ Công ty Du Lịch An Giang > Tiền bảo hiểm,Tiền bảo hiểm,,2.381.125,,2381125.0
+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,,,,
Tiền vay,+ Công ty CP Du Lịch Đồng Tháp > Tiền vay,Tiền vay,,15.355.660.000,,15355660000.0
Lãi tiền vay,+ Công ty CP Du Lịch Đồng Tháp > Lãi tiền vay,Lãi tiền vay,,85.949.000,,85949000.0
