row_label_raw,row_label_full,col_0,Giá trị sổ sách > 31/12/2017 > Giá trị,Giá trị sổ sách > 31/12/2017 > Dự phòng,Giá trị sổ sách > 01/01/2017 > Giá trị,Giá trị sổ sách > 01/01/2017 > Dự phòng,Giá trị hợp lý > 31/12/2017 > Giá trị,Giá trị hợp lý > 01/01/2017 > Giá trị,numeric__Giá trị sổ sách > 31/12/2017 > Giá trị,numeric__Giá trị sổ sách > 31/12/2017 > Dự phòng,numeric__Giá trị sổ sách > 01/01/2017 > Giá trị,numeric__Giá trị sổ sách > 01/01/2017 > Dự phòng,numeric__Giá trị hợp lý > 31/12/2017 > Giá trị,numeric__Giá trị hợp lý > 01/01/2017 > Giá trị
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,236.882.662.193,,205.094.795.946,,236.882.662.193,205.094.795.946,236882662193.0,,205094795946.0,,236882662193.0,205094795946.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,441.598.118.426,,351.568.648.030,,441.598.118.426,351.568.648.030,441598118426.0,,351568648030.0,,441598118426.0,351568648030.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,1.061.739.969.077,,840.897.111.408,,1.061.739.969.077,840.897.111.408,1061739969077.0,,840897111408.0,,1061739969077.0,840897111408.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,274.727.776.592,,149.322.889.330,,274.727.776.592,149.322.889.330,274727776592.0,,149322889330.0,,274727776592.0,149322889330.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,249.039.724.107,,372.139.724.107,,249.039.724.107,372.139.724.107,249039724107.0,,372139724107.0,,249039724107.0,372139724107.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,1.478.068.869.800,(18.734.635.169),1.298.849.179.800,(7.483.596.603),1.459.334.234.631,1.291.365.583.197,1478068869800.0,-18734635169.0,1298849179800.0,-7483596603.0,1459334234631.0,1291365583197.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.742.057.120.195,(18.734.635.169),3.217.872.348.621,(7.483.596.603),3.723.322.485.026,3.210.388.752.018,3742057120195.0,-18734635169.0,3217872348621.0,-7483596603.0,3723322485026.0,3210388752018.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,301.592.773.879,,205.353.294.657,,301.592.773.879,205.353.294.657,301592773879.0,,205353294657.0,,301592773879.0,205353294657.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,870.355.659.738,,672.265.922.110,,870.355.659.738,672.265.922.110,870355659738.0,,672265922110.0,,870355659738.0,672265922110.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,1.173.437.865.132,,1.039.536.181.159,,1.173.437.865.132,1.039.536.181.159,1173437865132.0,,1039536181159.0,,1173437865132.0,1039536181159.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,61.320.381.064,,82.630.353.866,,61.320.381.064,82.630.353.866,61320381064.0,,82630353866.0,,61320381064.0,82630353866.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,2.407.722.226.413,-,2.000.058.242.692,-,2.407.722.226.413,2.000.058.242.692,2407722226413.0,,2000058242692.0,,2407722226413.0,2000058242692.0
