row_label_raw,row_label_full,a) Vay ngắn hạn,31/12/2017 > Giá trị,31/12/2017 > Số có khả năng trả nợ,Trong kỳ > Tăng,Trong kỳ > Giảm,01/01/2017 > Giá trị,01/01/2017 > Số có khả năng trả nợ,numeric__31/12/2017 > Giá trị,numeric__31/12/2017 > Số có khả năng trả nợ,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__01/01/2017 > Giá trị,numeric__01/01/2017 > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,610.300.068.212,610.300.068.212,1.440.133.775.962,1.347.911.582.551,518.077.874.801,518.077.874.801,610300068212.0,610300068212.0,1440133775962.0,1347911582551.0,518077874801.0,518077874801.0
- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,199.000.000.000,199.000.000.000,559.800.000.000,590.100.000.000,229.300.000.000,229.300.000.000,199000000000.0,199000000000.0,559800000000.0,590100000000.0,229300000000.0,229300000000.0
- Ngân hàng An Bình - CN Cần Thơ,- Ngân hàng An Bình - CN Cần Thơ,- Ngân hàng An Bình - CN Cần Thơ,91.012.257.762,91.012.257.762,139.002.090.832,47.989.833.070,,,91012257762.0,91012257762.0,139002090832.0,47989833070.0,,
- Ngân hàng Việt Á - CN SG,- Ngân hàng Việt Á - CN SG,- Ngân hàng Việt Á - CN SG,93.746.639.337,93.746.639.337,285.115.054.757,346.695.208.540,155.326.793.120,155.326.793.120,93746639337.0,93746639337.0,285115054757.0,346695208540.0,155326793120.0,155326793120.0
- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,107.670.266.903,107.670.266.903,217.146.407.037,205.378.367.115,95.902.226.981,95.902.226.981,107670266903.0,107670266903.0,217146407037.0,205378367115.0,95902226981.0,95902226981.0
- Ngân hàng VP Bank TP HCM,- Ngân hàng VP Bank TP HCM,- Ngân hàng VP Bank TP HCM,,,78.621.213.466,116.170.068.166,37.548.854.700,37.548.854.700,,,78621213466.0,116170068166.0,37548854700.0,37548854700.0
- Ngân hàng SCB - CN An Giang,- Ngân hàng SCB - CN An Giang,- Ngân hàng SCB - CN An Giang,17.800.000.000,17.800.000.000,17.800.000.000,,,,17800000000.0,17800000000.0,17800000000.0,,,
- Ngân hàng Phát Triển TP HCM,- Ngân hàng Phát Triển TP HCM,- Ngân hàng Phát Triển TP HCM,29.535.244.210,29.535.244.210,59.469.009.870,29.933.765.660,,,29535244210.0,29535244210.0,59469009870.0,29933765660.0,,
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,71.535.660.000,71.535.660.000,83.180.000.000,11.644.340.000,,,71535660000.0,71535660000.0,83180000000.0,11644340000.0,,
Vay ngắn hạn - USD,Vay ngắn hạn - USD,Vay ngắn hạn - USD,,,,,,,,,,,,
Cộng,Vay ngắn hạn - USD > Cộng,Cộng,610.300.068.212,610.300.068.212,1.440.133.775.962,1.347.911.582.551,518.077.874.801,518.077.874.801,610300068212.0,610300068212.0,1440133775962.0,1347911582551.0,518077874801.0,518077874801.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,31/12/2017,31/12/2017,Trong kỳ,Trong kỳ,01/01/2017,01/01/2017,,,,,,
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Trên 1 năm đến 5 năm,b) Vay dài hạn > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,499.895.361.225,499.895.361.225,384.817.478.000,399.515.293.133,514.593.176.358,514.593.176.358,499895361225.0,499895361225.0,384817478000.0,399515293133.0,514593176358.0,514593176358.0
- Ngân hàng Á Châu An Giang,b) Vay dài hạn > - Ngân hàng Á Châu An Giang,- Ngân hàng Á Châu An Giang,38.474.514.800,38.474.514.800,,146.309.000.000,184.783.514.800,184.783.514.800,38474514800.0,38474514800.0,,146309000000.0,184783514800.0,184783514800.0
- Ngân hàng TMCP Bản Việt An Giang,b) Vay dài hạn > - Ngân hàng TMCP Bản Việt An Giang,- Ngân hàng TMCP Bản Việt An Giang,3.125.000.000,3.125.000.000,,6.240.000.000,9.365.000.000,9.365.000.000,3125000000.0,3125000000.0,,6240000000.0,9365000000.0,9365000000.0
