row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Tổng Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Tổng Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.199.398.670.000,45.056.200.000,29.741.625.938,4.971.647.795,81.066.353.417,2.360.234.497.150,2199398670000.0,45056200000.0,29741625938.0,4971647795.0,81066353417.0,2360234497150.0
Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,,,,,165.002.199.717,165.002.199.717,,,,,165002199717.0,165002199717.0
Lãi trong kỳ trước,Lãi trong kỳ trước,Lãi trong kỳ trước,,,5.859.618.104,,,5.859.618.104,,,5859618104.0,,,5859618104.0
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,,,(7.324.522.630),(7.324.522.630),,,,,-7324522630.0,-7324522630.0
Giảm vốn trong kỳ trước,Giảm vốn trong kỳ trước,Giảm vốn trong kỳ trước,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,,,,,,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,,,,,,
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,
Số dư đầu năm nay,Giảm khác > Số dư đầu năm nay,Số dư đầu năm nay,2.199.398.670.000,45.056.200.000,35.601.244.042,4.971.647.795,238.744.030.504,2.523.771.792.341,2199398670000.0,45056200000.0,35601244042.0,4971647795.0,238744030504.0,2523771792341.0
Tăng vốn trong kỳ này,Giảm khác > Tăng vốn trong kỳ này,Tăng vốn trong kỳ này,219.939.860.000,,,,,219.939.860.000,219939860000.0,,,,,219939860000.0
Lãi trong kỳ này,Giảm khác > Lãi trong kỳ này,Lãi trong kỳ này,,,,,182.351.679.355,182.351.679.355,,,,,182351679355.0,182351679355.0
Tăng do trích từ lợi nhuận,Giảm khác > Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,12.561.490.666,,,12.561.490.666,,,12561490666.0,,,12561490666.0
Tăng khác,Tăng khác,Tăng khác,,,,,,,,,,,,
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,,,,,,,,,,,,
Chia cổ tức,Giảm trong kỳ > Chia cổ tức,Chia cổ tức,,,,,(219.939.860.000),(219.939.860.000),,,,,-219939860000.0,-219939860000.0
Trích lập các quỹ,Giảm trong kỳ > Trích lập các quỹ,Trích lập các quỹ,,,,,(15.701.863.332),(15.701.863.332),,,,,-15701863332.0,-15701863332.0
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,
Số dư cuối kỳ này,Giảm khác > Số dư cuối kỳ này,Số dư cuối kỳ này,2.419.338.530.000,45.056.200.000,48.162.734.708,4.971.647.795,185.453.986.527,2.702.983.099.030,2419338530000.0,45056200000.0,48162734708.0,4971647795.0,185453986527.0,2702983099030.0
