row_label_raw,row_label_full,CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH,CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_1,CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_2,CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_3,CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_4,CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_5,CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_6,numeric__CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_1,numeric__CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_2,numeric__CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_3,numeric__CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_4,numeric__CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_5,numeric__CÁC KHOĂN ĐẦU TƯ TÀI CHÍNH_6
a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,,,,,,
b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,31/12/2017,31/12/2017,31/12/2017,01/01/2017,01/01/2017,01/01/2017,,,,,,
b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,Giá gốc,Giá trị ghi số,Dự phòng,Giá gốc,Giá trị ghi số,Dự phòng,,,,,,
b1) Ngắn hạn,b) Đầu tư nằm giữ đến ngày đáo hạn > b1) Ngắn hạn,b1) Ngắn hạn,249.039.724.107,249.039.724.107,,372.139.724.107,372.139.724.107,,249039724107.0,249039724107.0,,372139724107.0,372139724107.0,
- Tiền gửi có kỳ hạn,b) Đầu tư nằm giữ đến ngày đáo hạn > - Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,249.039.724.107,249.039.724.107,,372.139.724.107,372.139.724.107,,249039724107.0,249039724107.0,,372139724107.0,372139724107.0,
b2) Dải hạn,b) Đầu tư nằm giữ đến ngày đáo hạn > b2) Dải hạn,b2) Dải hạn,5.110.000.000,5.110.000.000,,5.110.000.000,5.110.000.000,,5110000000.0,5110000000.0,,5110000000.0,5110000000.0,
- Tiền gửi có kỳ hạn,b) Đầu tư nằm giữ đến ngày đáo hạn > - Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,5.110.000.000,5.110.000.000,,5.110.000.000,5.110.000.000,,5110000000.0,5110000000.0,,5110000000.0,5110000000.0,
Cộng,b) Đầu tư nằm giữ đến ngày đáo hạn > Cộng,Cộng,254.149.724.107,254.149.724.107,,377.249.724.107,377.249.724.107,,254149724107.0,254149724107.0,,377249724107.0,377249724107.0,
c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,31/12/2017,31/12/2017,31/12/2017,01/01/2017,01/01/2017,01/01/2017,,,,,,
c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,c) Đầu tư góp vốn vào đơn vị khác,Giá gốc,Giá hợp lý,Dự phòng,Giá gốc,Giá hợp lý,Dự phòng,,,,,,
