row_label_raw,row_label_full,col_0,Năm nay,Năm nay_1,Năm nay_2,Năm nay_3,Năm trước,Năm trước_1,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm nay_3,numeric__Năm trước,numeric__Năm trước_1
,,,Tổng khoản thanh toán tiền thuê tài chính,Trà tiền lãi thuê,Trà nợ gốc,Tổng khoản thanh toán tiền thuê tài chính,Trà tiền lãi thuê,Trà nợ gốc,,,,,,
Thời hạn,Thời hạn,Thời hạn,,,,,,,,,,,,
Từ 1 năm trở xuống,Thời hạn > Từ 1 năm trở xuống,Từ 1 năm trở xuống,13.184.179.607,7.845.257.257,5.338.922.350,,,,13184179607.0,7845257257.0,5338922350.0,,,
Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,,,,,,,,,,,,
Trên 5 năm,Trên 5 năm,Trên 5 năm,,,,,,,,,,,,
Cộng,Trên 5 năm > Cộng,Cộng,13.184.179.607,7845257257,5.338.922.350,,,,13184179607.0,7845257257.0,5338922350.0,,,
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,,,31/12/2017,31/12/2017,01/01/2017,01/01/2017,,,,,,
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,,,Giá đánh giá lại,Giá gốc,Giá đánh giá lại,Giá gốc,,,,,,
Ngắn hạn,d) Giá trị nợ thuê tài chính > Ngắn hạn,Ngắn hạn,,,61.477.305.695,61.477.305.695,,,,,61477305695.0,61477305695.0,,
Gốc nợ thuê tài chính,d) Giá trị nợ thuê tài chính > Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,,,61.477.305.695,61.477.305.695,,,,,61477305695.0,61477305695.0,,
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,,,
Dài hạn,Dài hạn,Dài hạn,,,,,,,,,,,,
Cộng,Dài hạn > Cộng,Cộng,,,61.477.305.695,61.477.305.695,,,,,61477305695.0,61477305695.0,,
,,,,,31/12/2017,31/12/2017,01/01/2017,01/01/2017,,,,,,
,,,,,Giá trị,Số có khả năng trả nợ,Giá trị,Số có khả năng trả nợ,,,,,,
a) Ngắn hạn,Dài hạn > a) Ngắn hạn,a) Ngắn hạn,,,301.592.773.879,301.592.773.879,205.353.294.657,205.353.294.657,,,301592773879.0,301592773879.0,205353294657.0,205353294657.0
+ Công Ty Cổ phần Đa Quốc Gia IDI,Dài hạn > + Công Ty Cổ phần Đa Quốc Gia IDI,+ Công Ty Cổ phần Đa Quốc Gia IDI,,,2.886.891.980,2.886.891.980,2.886.891.980,2.886.891.980,,,2886891980.0,2886891980.0,2886891980.0,2886891980.0
+ Cty TNHH 1TV Toàn Cầu,Dài hạn > + Cty TNHH 1TV Toàn Cầu,+ Cty TNHH 1TV Toàn Cầu,,,25.555.652.066,25.555.652.066,3.184.181.262,3.184.181.262,,,25555652066.0,25555652066.0,3184181262.0,3184181262.0
+ Công ty Seatecco,Dài hạn > + Công ty Seatecco,+ Công ty Seatecco,,,20.856.647.315,20.856.647.315,29.703.496.630,29.703.496.630,,,20856647315.0,20856647315.0,29703496630.0,29703496630.0
+ Cty TNHH JIANGSU MUYANG HOLDINGS,Dài hạn > + Cty TNHH JIANGSU MUYANG HOLDINGS,+ Cty TNHH JIANGSU MUYANG HOLDINGS,,,57.617.923.000,57.617.923.000,64.436.923.000,64.436.923.000,,,57617923000.0,57617923000.0,64436923000.0,64436923000.0
+ Khách hàng khác,Dài hạn > + Khách hàng khác,+ Khách hàng khác,,,194.675.659.518,194.675.659.518,105.141.801.785,105.141.801.785,,,194675659518.0,194675659518.0,105141801785.0,105141801785.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,,,,,
Cộng,b) Dài hạn > Cộng,Cộng,,,301.592.773.879,301.592.773.879,205.353.294.657,205.353.294.657,,,301592773879.0,301592773879.0,205353294657.0,205353294657.0
