row_label_raw,row_label_full,b) Vay dài hạn (tiếp theo),31/12/2017 > Giá trị,31/12/2017 > Số có khả năng trả nợ,Trong kỳ > Tăng,Trong kỳ > Giảm,Đơn vị tính: VND01/01/2017 > Giá trị,Đơn vị tính: VND01/01/2017 > Số có khả năng trả nợ,numeric__31/12/2017 > Giá trị,numeric__31/12/2017 > Số có khả năng trả nợ,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__Đơn vị tính: VND01/01/2017 > Giá trị,numeric__Đơn vị tính: VND01/01/2017 > Số có khả năng trả nợ
- Ngân hàng TMCP Liên Việt An Giang,- Ngân hàng TMCP Liên Việt An Giang,- Ngân hàng TMCP Liên Việt An Giang,52.030.550.000,52.030.550.000,,25.040.500.000,77.071.050.000,77.071.050.000,52030550000.0,52030550000.0,,25040500000.0,77071050000.0,77071050000.0
- Ngân hàng Ngoại thương An Giang,- Ngân hàng Ngoại thương An Giang,- Ngân hàng Ngoại thương An Giang,32.000.000.000,32.000.000.000,14.000.000.000,10.306.822.800,28.306.822.800,28.306.822.800,32000000000.0,32000000000.0,14000000000.0,10306822800.0,28306822800.0,28306822800.0
- Ngân hàng TMCP Quốc Dân An Giang,- Ngân hàng TMCP Quốc Dân An Giang,- Ngân hàng TMCP Quốc Dân An Giang,19.521.000.000,19.521.000.000,,3.400.000.000,22.921.000.000,22.921.000.000,19521000000.0,19521000000.0,,3400000000.0,22921000000.0,22921000000.0
"- Ngân hàng TMCP Tiên Phong An Gian,","- Ngân hàng TMCP Tiên Phong An Gian,","- Ngân hàng TMCP Tiên Phong An Gian,",97.916.666.667,97.916.666.667,50.000.000.000,12.083.333.333,60.000.000.000,60.000.000.000,97916666667.0,97916666667.0,50000000000.0,12083333333.0,60000000000.0,60000000000.0
- Ngân hàng LD Việt Nga CN TP HCM,- Ngân hàng LD Việt Nga CN TP HCM,- Ngân hàng LD Việt Nga CN TP HCM,8.332.000.000,8.332.000.000,10.000.000.000,1.668.000.000,,,8332000000.0,8332000000.0,10000000000.0,1668000000.0,,
- Ngân hàng Đại Chứng CN An Giang,- Ngân hàng Đại Chứng CN An Giang,- Ngân hàng Đại Chứng CN An Giang,40.000.000.000,40.000.000.000,40.000.000.000,,,,40000000000.0,40000000000.0,40000000000.0,,,
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,208.495.629.758,208.495.629.758,270.817.478.000,194.467.637.000,132.145.788.758,132.145.788.758,208495629758.0,208495629758.0,270817478000.0,194467637000.0,132145788758.0,132145788758.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,1.765.130.000,1.765.130.000,,5.100.000.000,6.865.130.000,6.865.130.000,1765130000.0,1765130000.0,,5100000000.0,6865130000.0,6865130000.0
- Ngân hàng Ngoại thương An Giang,- Ngân hàng Ngoại thương An Giang,- Ngân hàng Ngoại thương An Giang,1.765.130.000,1.765.130.000,,5.100.000.000,6.865.130.000,6.865.130.000,1765130000.0,1765130000.0,,5100000000.0,6865130000.0,6865130000.0
Cộng,Cộng,Cộng,501.660.491.225,501.660.491.225,384.817.478.000,404.615.293.133,521.458.306.358,521.458.306.358,501660491225.0,501660491225.0,384817478000.0,404615293133.0,521458306358.0,521458306358.0
Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc ngày 31/12/2017 như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc ngày 31/12/2017 như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc ngày 31/12/2017 như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc ngày 31/12/2017 như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc ngày 31/12/2017 như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc ngày 31/12/2017 như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc ngày 31/12/2017 như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc ngày 31/12/2017 như sau:,Ghi chú: Chi tiết khoản vay dài hạn tại ngày kết thúc ngày 31/12/2017 như sau:,,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Hợp đồng,Hạn mức/Số tiền vay,Thời hạn vay(tháng),Lãi suất %/Năm,Mục đích vay,Hình thức đảmbảo,,,,,,
Ngân hàng Á Châu An Giang,Bên cho vay > Ngân hàng Á Châu An Giang,Ngân hàng Á Châu An Giang,ANG.DN1500814,210.000.000.000,72,"11,00",DA Bình Khánh,,,210000000000.0,72.0,11.0,,
Ngân hàng TMCP Bản Việt An Giang,Bên cho vay > Ngân hàng TMCP Bản Việt An Giang,Ngân hàng TMCP Bản Việt An Giang,003/2013,25.000.000.000,60,"10,00",DA Tri Tôn,,,25000000000.0,60.0,10.0,,
Ngân hàng TMCP Liên Việt An Giang,Bên cho vay > Ngân hàng TMCP Liên Việt An Giang,Ngân hàng TMCP Liên Việt An Giang,015/2015/AG,100.000.000.000,60,"12,00",DA Bình Khánh,,,100000000000.0,60.0,12.0,,
Ngân hàng Ngoại thương An Giang,Bên cho vay > Ngân hàng Ngoại thương An Giang,Ngân hàng Ngoại thương An Giang,130/2012,75.000.000.000,120,"10,00",KDC Ngọc Hầu,Thế chấp bằng tài sản hình thành từ dự án,,75000000000.0,120.0,10.0,,
Ngân hàng Ngoại thương An Giang,Bên cho vay > Ngân hàng Ngoại thương An Giang,Ngân hàng Ngoại thương An Giang,04/2017,14.000.000.000,96,"7,40",KDC Ngọc Hầu,Thế chấp bằng tài sản hình thành từ dự án,,14000000000.0,96.0,7.4,,
Ngân hàng LD Việt Nga Tp HCM,Bên cho vay > Ngân hàng LD Việt Nga Tp HCM,Ngân hàng LD Việt Nga Tp HCM,119/2017,10.000.000.000,36,"10,50",DA Cà Mau,Thế chấp bằng tài sản hình thành từ dự án,,10000000000.0,36.0,10.5,,
Ngân hàng TMCP Tiên Phong An Giang,Bên cho vay > Ngân hàng TMCP Tiên Phong An Giang,Ngân hàng TMCP Tiên Phong An Giang,58/2016,100.000.000.000,60,"10,50",DA Thanh Hoá,,,100000000000.0,60.0,10.5,,
- Ngân hàng TMCP Quốc Dân An Giang,Bên cho vay > - Ngân hàng TMCP Quốc Dân An Giang,- Ngân hàng TMCP Quốc Dân An Giang,063/16,23.200.000.000,84,"12,50",Khách sạn Bảo Giang,Quyền sử dụng đất,,23200000000.0,84.0,12.5,,
