row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2019,Nguyên giá > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,639.179.001.549,3.531.594.079.260,246.002.627.432,6.962.606.336,985.089.600,4.424.723.404.177,639179001549.0,3531594079260.0,246002627432.0,6962606336.0,985089600.0,4424723404177.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,3.350.844.700,-,-,-,3.350.844.700,,3350844700.0,,,,3350844700.0
Chuyển từ chi phí xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang,Chuyển từ chi phí xây dựng cơ bảnđở dang,43.385.554.106,199.411.422.054,615.000.000,8.768.157.984,-,252.180.134.144,43385554106.0,199411422054.0,615000000.0,8768157984.0,,252180134144.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(52.223.037.860),(187.275.106.293),(2.117.370.945),(1.310.320.649),(259.336.120),(243.185.171.867),-52223037860.0,-187275106293.0,-2117370945.0,-1310320649.0,-259336120.0,-243185171867.0
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,630.341.517.795,3.547.081.239.721,244.500.256.487,14.420.443.671,725.753.480,4.437.069.211.154,630341517795.0,3547081239721.0,244500256487.0,14420443671.0,725753480.0,4437069211154.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,171.981.338.483,1.062.314.893.032,57.139.536.487,4.700.810.851,561.691.863,1.296.698.270.716,171981338483.0,1062314893032.0,57139536487.0,4700810851.0,561691863.0,1296698270716.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,50.301.119.533,346.110.730.230,17.526.934.032,1.192.937.708,50.204.640,415.181.926.143,50301119533.0,346110730230.0,17526934032.0,1192937708.0,50204640.0,415181926143.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(25.247.427.937),(162.731.159.638),(1.570.501.779),(1.310.320.649),(259.336.120),(191.118.746.123),-25247427937.0,-162731159638.0,-1570501779.0,-1310320649.0,-259336120.0,-191118746123.0
Tại ngày 31 tháng 12 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,197.035.030.079,1.245.694.463.624,73.095.968.740,4.583.427.910,352.560.383,1.520.761.450.736,197035030079.0,1245694463624.0,73095968740.0,4583427910.0,352560383.0,1520761450736.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,467.197.663.066,2.469.279.186.228,188.863.090.945,2.261.795.485,423.397.737,3.128.025.133.461,467197663066.0,2469279186228.0,188863090945.0,2261795485.0,423397737.0,3128025133461.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,433.306.487.716,2.301.386.776.097,171.404.287.747,9.837.015.761,373.193.097,2.916.307.760.418,433306487716.0,2301386776097.0,171404287747.0,9837015761.0,373193097.0,2916307760418.0
