row_label_raw,row_label_full,col_0,col_1,2019VNĐ,2018VNĐ,numeric__col_1,numeric__2019VNĐ,numeric__2018VNĐ
,,,,2019VNĐ,2018VNĐ,,,
Lãi tiền gửi và trái phiếu,Lãi tiền gửi và trái phiếu,Lãi tiền gửi và trái phiếu,Lãi tiền gửi và trái phiếu,9.611.141.786,-,,9611141786.0,
Tạm ứng,Tạm ứng,Tạm ứng,Tạm ứng,3.283.099.110,1.036.772.941,,3283099110.0,1036772941.0
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",465.200.000,466.000.000,,465200000.0,466000000.0
Khác,Khác,Khác,Khác,1.854.096.445,1.788.193.411,,1854096445.0,1788193411.0
,,,,15.213.537.341,3.290.966.352,,15213537341.0,3290966352.0
(b),(b),(b),Dài hạn,,,,,
,,,,2019VNĐ,2018VNĐ,,,
,,,"Ký quỹ, ký cược",3.453.843.850,3.435.857.850,,3453843850.0,3435857850.0
