row_label_raw,row_label_full,col_0,2019VNĐ,2018VNĐ,numeric__2019VNĐ,numeric__2018VNĐ
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,
Doanh thu bán thành phẩm,Doanh thu > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,12.183.049.407.306,14.646.478.602.267,12183049407306.0,14646478602267.0
Doanh thu cung cấp dịch vụ,Doanh thu > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,38.644.203.140,32.089.218.895,38644203140.0,32089218895.0
,,,12.221.693.610.446,14.678.567.821.162,12221693610446.0,14678567821162.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,(25.824.901.494),(16.026.314.383),-25824901494.0,-16026314383.0
Giảm giá hàng bán,Các khoản giảm trừ > Giảm giá hàng bán,Giảm giá hàng bán,(4.399.085.943),(5.497.225.495),-4399085943.0,-5497225495.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(14.061.608.233),(19.789.872.012),-14061608233.0,-19789872012.0
,,,(44.285.595.670),(41.313.411.890),-44285595670.0,-41313411890.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,
Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán thành phẩm,12.138.763.811.636,14.605.165.190.377,12138763811636.0,14605165190377.0
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,38.644.203.140,32.089.218.895,38644203140.0,32089218895.0
,,,12.177.408.014.776,14.637.254.409.272,12177408014776.0,14637254409272.0
