row_label_raw,row_label_full,col_0,Tại ngày 1.1.2019 > Phải thu VND,Tại ngày 1.1.2019 > Phải nộp,Phải nộp trong năm VND,Số đã thực nộp trong năm VND,Tại ngày 31.12.2019 > Phải thu,Tại ngày 31.12.2019 > Phải nộp VND,numeric__Tại ngày 1.1.2019 > Phải thu VND,numeric__Tại ngày 1.1.2019 > Phải nộp,numeric__Phải nộp trong năm VND,numeric__Số đã thực nộp trong năm VND,numeric__Tại ngày 31.12.2019 > Phải thu,numeric__Tại ngày 31.12.2019 > Phải nộp VND
Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,20.843.612,-,565.701.807.018,555.783.071.291,9.939.579.339,-,20843612.0,,565701807018.0,555783071291.0,9939579339.0,
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,-,4.310.971.958,4.310.971.958,-,-,,,4310971958.0,4310971958.0,,
Thuế TNDN,Thuế TNDN,Thuế TNDN,1.866.727.526,-,42.393.419.864,42.393.419.864,1.866.727.526,-,1866727526.0,,42393419864.0,42393419864.0,1866727526.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,272.125.570,4.821.199.817,5.307.889.130,-,758.814.883,,272125570.0,4821199817.0,5307889130.0,,758814883.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,711.472.458,711.472.458,-,-,,,711472458.0,711472458.0,,
,,,1.887.571.138,272.125.570,617.938.871.115,608.506.824.701,11.806.306.865,758.814.883,1887571138.0,272125570.0,617938871115.0,608506824701.0,11806306865.0,758814883.0
14 CHI PHÍ PHẢI TRẢ NGÁN HẠN,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN,,,,,,
,,,,,,,2019VND,2018VND,,,,,,
Chi phí quảng cáo,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN > Chi phí quảng cáo,Chi phí quảng cáo,,,,,2.826.874.200,3.910.532.600,,,,,2826874200.0,3910532600.0
Chi phí lãi vay,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN > Chi phí lãi vay,Chi phí lãi vay,,,,,6.602.484.747,12.298.786.141,,,,,6602484747.0,12298786141.0
Khác,14 CHI PHÍ PHẢI TRẢ NGÁN HẠN > Khác,Khác,,,,,1.079.961.091,2.285.276.536,,,,,1079961091.0,2285276536.0
,,,,,,,10.509.320.038,18.494.595.277,,,,,10509320038.0,18494595277.0
