row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,15.170.790.000.000,3.202.198.967.068,(1.693.270.000),502.000.000.000,8.456.983.382.636,27.330.279.079.704,15170790000000.0,3202198967068.0,-1693270000.0,502000000000.0,8456983382636.0,27330279079704.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,7.293.130.390.699,7.293.130.390.699,,,,,7293130390699.0,7293130390699.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,6.068.281.660.000,-,-,-,(6.068.281.660.000),-,6068281660000.0,,,,-6068281660000.0,
Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,Thu hồi cổ phiếu thường cho nhân viên làm cổ phiếu quỹ,-,-,(370.000.000),-,370.000.000,-,,,-370000000.0,,370000000.0,
Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,-,9.361.449.202,2.063.270.000,-,-,11.424.719.202,,9361449202.0,2063270000.0,,,11424719202.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,400.000.000.000,(400.000.000.000),-,,,,400000000000.0,-400000000000.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(180.700.000.000),(180.700.000.000),,,,,-180700000000.0,-180700000000.0
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,21.239.071.660.000,3.211.560.416.270,-,902.000.000.000,9.101.502.113.335,34.454.134.189.605,21239071660000.0,3211560416270.0,,902000000000.0,9101502113335.0,34454134189605.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,10.503.921.754.284,10.503.921.754.284,,,,,10503921754284.0,10503921754284.0
Trả cổ tức bằng cổ phiếu (Thuyết minh 19),Trả cổ tức bằng cổ phiếu (Thuyết minh 19),Trả cổ tức bằng cổ phiếu (Thuyết minh 19),6.371.669.490.000,-,-,-,(6.371.669.490.000),-,6371669490000.0,,,,-6371669490000.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(214.000.000.000),(214.000.000.000),,,,,-214000000000.0,-214000000000.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,(1.148.861.329),(1.148.861.329),,,,,-1148861329.0,-1148861329.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,27.610.741.150.000,3.211.560.416.270,-,902.000.000.000,13.018.605.516.290,44.742.907.082.560,27610741150000.0,3211560416270.0,,902000000000.0,13018605516290.0,44742907082560.0
