row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2019 VND,2018 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2019 VND,numeric__2018 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,21,332.716.141.221,144.749.999.691,1.0,21.0,332716141221.0,144749999691.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,22,287.362.038.835,113.528.354.103,11.0,22.0,287362038835.0,113528354103.0
Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),20,,45.354.102.386,31.221.645.588,20.0,,45354102386.0,31221645588.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,23,10.794.415.758.471,7.338.449.240.184,21.0,23.0,10794415758471.0,7338449240184.0
Trong đó: lợi nhuận công ty con chuyển về,Trong đó: lợi nhuận công ty con chuyển về,Trong đó: lợi nhuận công ty con chuyển về,,,10.610.843.351.633,7.296.101.907.388,,,10610843351633.0,7296101907388.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,24,265.964.344.396,7.794.240.128,22.0,24.0,265964344396.0,7794240128.0
Trong đó: chi phí lãi vay,Trong đó: chi phí lãi vay,Trong đó: chi phí lãi vay,23,,253.732.844.396,5.494.246.371,23.0,,253732844396.0,5494246371.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,25,71.140.267.042,67.170.381.164,26.0,25.0,71140267042.0,67170381164.0
Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 26),Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 26),Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 26),30,,10.502.665.249.419,7.294.706.264.480,30.0,,10502665249419.0,7294706264480.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,5.255.386.692,5.878.321.906,31.0,,5255386692.0,5878321906.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,3.998.881.827,3.448.677.322,32.0,,3998881827.0,3448677322.0
Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),40,,1.256.504.865,2.429.644.584,40.0,,1256504865.0,2429644584.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,10.503.921.754.284,7.297.135.909.064,50.0,,10503921754284.0,7297135909064.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,27,-,4.005.518.365,51.0,27.0,,4005518365.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51),Lợi nhuận sau thuế TNDN (60 = 50 - 51),Lợi nhuận sau thuế TNDN (60 = 50 - 51),60,,10.503.921.754.284,7.293.130.390.699,60.0,,10503921754284.0,7293130390699.0
