row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2019VND,1/1/2019VND,,
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Harmonia,Công ty con > Công ty TNHH Harmonia,Công ty TNHH Harmonia,91.900.000,-,91900000.0,
Công ty TNHH Gia cầm Hòa Phát,Công ty con > Công ty TNHH Gia cầm Hòa Phát,Công ty TNHH Gia cầm Hòa Phát,5.850.000,4.950.000,5850000.0,4950000.0
Công ty CP Nội thất Hòa Phát,Công ty con > Công ty CP Nội thất Hòa Phát,Công ty CP Nội thất Hòa Phát,-,2.163.000,,2163000.0
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,
Công ty CP Quảng cáo Thương mại Sen Vàng,Bên khác > Công ty CP Quảng cáo Thương mại Sen Vàng,Công ty CP Quảng cáo Thương mại Sen Vàng,1.409.762.191,-,1409762191.0,
Công ty TNHH Thương mại Dịch vụ Quảng cáo,Công ty TNHH Thương mại Dịch vụ Quảng cáo,Công ty TNHH Thương mại Dịch vụ Quảng cáo,Công ty TNHH Thương mại Dịch vụ Quảng cáo,Công ty TNHH Thương mại Dịch vụ Quảng cáo,,
Tân Phượng Hoàng,Công ty TNHH Thương mại Dịch vụ Quảng cáo > Tân Phượng Hoàng,Tân Phượng Hoàng,673.574.880,680.174.880,673574880.0,680174880.0
Tập đoàn Viễn thông Quân Đội,Công ty TNHH Thương mại Dịch vụ Quảng cáo > Tập đoàn Viễn thông Quân Đội,Tập đoàn Viễn thông Quân Đội,222.618.198,797.349.574,222618198.0,797349574.0
Công ty CP Đầu tư Bizman,Công ty TNHH Thương mại Dịch vụ Quảng cáo > Công ty CP Đầu tư Bizman,Công ty CP Đầu tư Bizman,513.183.825,474.115.950,513183825.0,474115950.0
Các nhà cung cấp khác,Công ty TNHH Thương mại Dịch vụ Quảng cáo > Các nhà cung cấp khác,Các nhà cung cấp khác,3.215.949.168,5.233.576.635,3215949168.0,5233576635.0
,,,6.132.838.262,7.192.330.039,6132838262.0,7192330039.0
