row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,24.860.459.741,6.432.481.745,44.620.070.030,29.795.045.427,105.708.056.943,24860459741.0,6432481745.0,44620070030.0,29795045427.0,105708056943.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,14.752.080.000,-,14.752.080.000,,,14752080000.0,,14752080000.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,56.451.818,-,-,2.318.646.800,2.375.098.618,56451818.0,,,2318646800.0,2375098618.0
Thanh lý và xóa sổ,Nguyên giá > Thanh lý và xóa sổ,Thanh lý và xóa sổ,-,-,(6.829.681.067),(47.272.727),(6.876.953.794),,,-6829681067.0,-47272727.0,-6876953794.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,24.916.911.559,6.432.481.745,52.542.468.963,32.066.419.500,115.958.281.767,24916911559.0,6432481745.0,52542468963.0,32066419500.0,115958281767.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.386.410.951,3.626.203.222,29.570.927.578,18.718.433.226,54.301.974.977,2386410951.0,3626203222.0,29570927578.0,18718433226.0,54301974977.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.486.045.976,753.051.384,6.387.918.295,3.106.334.536,12.733.350.191,2486045976.0,753051384.0,6387918295.0,3106334536.0,12733350191.0
Thanh lý và xóa sổ,Giá trị hao mòn lũy kế > Thanh lý và xóa sổ,Thanh lý và xóa sổ,-,-,(6.829.681.067),(47.272.727),(6.876.953.794),,,-6829681067.0,-47272727.0,-6876953794.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.872.456.927,4.379.254.606,29.129.164.806,21.777.495.035,60.158.371.374,4872456927.0,4379254606.0,29129164806.0,21777495035.0,60158371374.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,22.474.048.790,2.806.278.523,15.049.142.452,11.076.612.201,51.406.081.966,22474048790.0,2806278523.0,15049142452.0,11076612201.0,51406081966.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,20.044.454.632,2.053.227.139,23.413.304.157,10.288.924.465,55.799.910.393,20044454632.0,2053227139.0,23413304157.0,10288924465.0,55799910393.0
