row_label_raw,row_label_full,11.,Chi phí trả trước,Chi phí trả trước_1,Chi phí trả trước_2,Chi phí trả trước_3,Chi phí trả trước_4,Chi phí trả trước_5,numeric__Chi phí trả trước,numeric__Chi phí trả trước_1,numeric__Chi phí trả trước_2,numeric__Chi phí trả trước_3,numeric__Chi phí trả trước_4,numeric__Chi phí trả trước_5
11.1,11.1,11.1,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,,,,,,
,,,,31/12/2019VND,1/1/2019VND,,,,,,,,,
,,,Chi phí quảng cáo,8.050.722.720,13.656.004.222,,,,,8050722720.0,13656004222.0,,,
,,,Chi phí thuê văn phòng,10.014.327.274,10.357.865.104,,,,,10014327274.0,10357865104.0,,,
,,,Chi phí khác,946.098.710,689.786.251,,,,,946098710.0,689786251.0,,,
,,,,19.011.148.704,24.703.655.577,,,,,19011148704.0,24703655577.0,,,
11.2,11.2,11.2,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,,,,,,
,,,Chi phí sửa chữa văn phòng VND,Công cụ và dụng cụ VND,Chi phí quảng cáo VND,Chi phí làm thủ tục vay VND,Chi phí khác VND,Tổng cộng VND,,,,,,
Số dư đầu năm,11.2 > Số dư đầu năm,Số dư đầu năm,1.615.231.149,3.430.457.039,4.479.164.027,81.975.918.506,1.921.876.911,93.422.647.632,1615231149.0,3430457039.0,4479164027.0,81975918506.0,1921876911.0,93422647632.0
Tăng trong năm,11.2 > Tăng trong năm,Tăng trong năm,-,-,-,1.353.999.700,562.080.000,1.916.079.700,,,,1353999700.0,562080000.0,1916079700.0
Chuyển từ xây dựng cơ bản dở dang,11.2 > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,3.437.631.250,-,-,-,-,3.437.631.250,3437631250.0,,,,,3437631250.0
Phân bổ trong năm,11.2 > Phân bổ trong năm,Phân bổ trong năm,(1.225.768.098),(1.672.496.187),(2.276.021.040),(17.556.464.434),(335.078.099),(23.065.827.858),-1225768098.0,-1672496187.0,-2276021040.0,-17556464434.0,-335078099.0,-23065827858.0
Số dư cuối năm,11.2 > Số dư cuối năm,Số dư cuối năm,3.827.094.301,1.757.960.852,2.203.142.987,65.773.453.772,2.148.878.812,75.710.530.724,3827094301.0,1757960852.0,2203142987.0,65773453772.0,2148878812.0,75710530724.0
